,ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,LBol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Mass_g,Mass_old,L_Edd,v_inf
0,1,202.5333,47.22,2.0723e+37,1.0825e+36,1.3358e+36,1.1488e+35,0.1209,0.1381,0.052421,0.015025,0.0065666,0.025442,87.10613087305876,921.4008676411847,1.0517518679970543,2.862292817679558e+39,0.07684327625905196,0.000786890631265983,0.3360354651970272,0.056298769981386686,1.0368164101010773e+36,9.417076145613662e+36,3.065394160497661e+36,7.958075319199278e+38,318132.21767876646
1,2,202.5333,47.2205,1.9726000000000002e+37,1.0317000000000001e+36,1.9419000000000002e+36,2.1371e+35,0.7899,0.1857,0.040538,0.011036,0.0053178,0.021216,87.11402641348127,926.8008413567636,1.3846352036274947,2.7245856353591164e+39,0.10116445590249644,0.005141148963085196,0.906628589754882,0.36782794382379946,9.869343485814723e+35,6.152645531364958e+37,4.035602689921821e+36,9.486309040348328e+39,0.0
2,3,202.5333,47.2211,1.6210000000000002e+37,8.5108e+35,1.5476e+36,2.752e+35,0.7414,0.3206,0.028617,0.007864399999999999,0.0056341,0.018040999999999998,87.12350106206446,933.2808098848112,1.1284776882541558,2.2389502762430943e+39,0.08244903136310215,0.004825481505546732,0.8936248161066684,0.3452432428800669,8.11021281076025e+35,5.774872005258865e+37,3.2890161844104065e+36,8.395400550537867e+39,0.0
3,4,202.5325,47.2116,1.5544000000000002e+37,8.1388e+35,1.733e+36,1.4290000000000002e+35,0.9865,0.1034,0.06332,0.01379,0.0078119,0.033181999999999996,92.84254691841706,830.6727631591646,0.9116391919560448,2.1469613259668518e+39,0.0666063397723896,0.006420741172406057,0.9763592472468642,0.4593774738348882,7.776998638522969e+35,7.683991412446549e+37,2.6570273279616292e+36,1.3270243758550584e+40,0.0
4,5,202.5325,47.2122,1.2588000000000002e+37,6.6195e+35,1.4802000000000005e+36,1.2302e+35,1.0707,0.1215,0.050407,0.0099703,0.0065514,0.024992,92.85195519184015,837.1527307589515,0.8122033753719969,1.7386740331491717e+39,0.059341343002415885,0.006968765913122316,0.9971580796459476,0.4985863773289556,6.2980480482325735e+35,8.339837410346193e+37,2.367215652056044e+36,1.5177752390089961e+40,0.0
5,6,202.5325,47.2127,1.4428e+37,7.5649e+35,1.4014e+36,1.3301e+35,0.7687,0.1345,0.05612,0.010537999999999999,0.008475299999999998,0.027624,92.85979541973863,842.5527038015082,0.7476377127238737,1.992817679558012e+39,0.05462403542951184,0.0050031664868003395,0.9018524534586598,0.35795586835973503,7.218639755314552e+35,5.98751566015982e+37,2.1790351398339605e+36,8.754442528860546e+39,0.0
6,7,202.5325,47.22,2.5569000000000003e+37,1.3325e+36,2.2734e+36,1.7022e+35,0.629,0.087,0.053589,0.013938999999999998,0.0062082,0.02785,92.97426275499048,921.3923151794424,1.5113772570656423,3.531629834254144e+39,0.11042450565599436,0.004093914036942128,0.8395171481979103,0.29290261636304576,1.2792722477379938e+36,4.8993721220769175e+37,4.405000037642879e+36,6.702652808839105e+39,0.0
7,8,202.5325,47.2205,2.353e+37,1.2274e+36,3.7515000000000003e+36,3.4611e+35,1.5516,0.1124,0.038653,0.009558,0.0049543,0.022638,92.98210298393002,926.7922889365833,1.7921635904698126,3.25e+39,0.13093936514336854,0.010098755198282044,1.0995305592477416,0.7225241646246452,1.1772566775890724e+36,1.2085637177447611e+38,5.2233687165631646e+36,2.938104368126934e+40,0.0
8,9,202.5325,47.2211,1.219e+37,6.4402e+35,2.4065000000000003e+36,2.2078e+35,1.8891,0.1122,0.017813,0.0046321,0.0039533,0.012976,92.99151125882601,933.2722575144293,1.2480014385861429,1.6837016574585638e+39,0.09118169621091447,0.012295410186307431,1.1382869489133,0.879685743356804,6.098920059418102e+35,1.4714473570453903e+38,3.637375353009934e+36,4.110732415716385e+40,0.0
9,10,202.5317,47.2116,1.8666e+37,9.7473e+35,1.7931e+36,2.1323e+35,0.7512,0.155,0.07292699999999999,0.014113999999999996,0.0094863,0.038676999999999996,98.71160803581222,830.6642701380375,0.9704272993609656,2.5781767955801104e+39,0.07090152660829811,0.0048892658577916175,0.8965908384705703,0.3498067494625119,9.339002611082714e+35,5.851205624966901e+37,2.82836880747708e+36,8.536569775215756e+39,0.0
10,11,202.5317,47.2127,1.5221e+37,7.9728e+35,1.2202000000000001e+36,1.1325e+35,0.4654,0.1398,0.058717999999999985,0.009565700000000002,0.008065300000000001,0.028641000000000007,98.72873485191805,842.5442108716005,0.8856575849959126,2.1023480662983426e+39,0.06470806712649099,0.003029105870894859,0.7495136738057002,0.2167199962724348,7.615394768203685e+35,3.6250680216448284e+37,2.5813023697472864e+36,4.0223887000838273e+39,0.0
11,12,202.5317,47.2133,1.5877000000000004e+37,8.3114e+35,1.5072e+36,1.8511e+35,0.7324,0.1635,0.065384,0.010549,0.0096164,0.031715,98.73807675183008,849.0241786250357,0.7739996253740565,2.1929558011049732e+39,0.0565500940352862,0.0047669040391993866,0.888444048458449,0.3410522674472094,7.943605724641607e+35,5.704769701445365e+37,2.2558685218856727e+36,8.105705478578344e+39,0.0
12,13,202.5317,47.2205,1.5763e+37,8.2643e+35,2.5348e+36,1.6564e+35,1.5651,0.0708,0.025236,0.005882,0.0042607,0.016956,98.85017955735657,926.7837966536536,1.2900261186255244,2.177209944751381e+39,0.09425211062730562,0.01018662139780306,1.0991867611999242,0.7288106277739315,7.886569064528921e+35,1.2190790633167859e+38,3.75985881389965e+36,2.9459445844081146e+40,0.0
13,14,202.5317,47.2222,2.4547e+37,1.2817e+36,1.8824e+36,1.6162e+35,0.3954,0.1607,0.018655,0.0065816,0.007676899999999999,0.02139,98.87664827754669,945.1437079671105,0.807344963645837,3.390469613259669e+39,0.05898637688748566,0.002573503354859964,0.6927301410741363,0.1841235206835425,1.2281393822685492e+36,3.0798278808731532e+37,2.353055518484781e+36,3.210590273175793e+39,74518.90070880971
14,15,202.5317,47.2227,3.7293e+37,1.9408000000000002e+36,5.4867e+36,2.9448e+35,1.4246,0.043,0.025749,0.0093669,0.0080417,0.030243,98.88443319535965,950.5436820032968,1.0958625975203322,5.150966850828729e+39,0.08006610198238602,0.009272162062047307,1.075721411789024,0.663384844627655,1.865849268054793e+36,1.1096415779190424e+38,3.1939575382394606e+36,2.5139342176658846e+40,0.0
15,16,202.5308,47.1916,1.238e+37,6.5098e+35,8.8101e+35,2.3271e+35,0.2773,0.5057,0.067012,0.017905,0.021217,0.045251,105.0053941868258,614.655886398153,0.7115289708353133,1.7099447513812156e+39,0.051985852305964274,0.001804836824235377,0.5781831499633383,0.12912860972571158,6.193981159605915e+35,2.1599298719426543e+37,2.073794036969173e+36,1.9062048400882768e+39,0.0
16,17,202.5308,47.1933,2.1579e+37,1.1248000000000001e+36,2.1877000000000002e+36,3.0016e+35,0.8364,0.2581,0.06,0.015880000000000002,0.009692399999999999,0.035693,105.03165133215134,633.015791924259,1.0985671816434055,2.980524861878453e+39,0.08026370477374684,0.005443799205879803,0.9292965481667621,0.3894813168935636,1.0796439373435868e+36,6.514840767734714e+37,3.201840211548358e+36,1.0223963014823352e+40,0.0
17,18,202.5308,47.1939,1.5023e+37,7.8677e+35,3.3236000000000005e+36,4.67e+35,2.0691,0.2174,0.041996,0.0087973,0.0058854,0.023016,105.04091856002134,639.4957586006033,1.4416868776754943,2.075e+39,0.10533277514519074,0.013466959513254306,1.1699745117876277,0.9635052520139556,7.516331095376386e+35,1.6116519646723927e+38,4.2018832298427096e+36,4.806586012843207e+40,0.0
