ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,LBol,Sigma_star,L_Edd,Mass_old,Mass_new,Mass_g,Momentum,tau,Sigma_g
1,202.5333,47.22,2.0723e+37,1.0825e+36,1.3358e+36,1.1488e+35,0.1209,0.1381,0.052421,0.015025,0.0065666,0.025442,87.10613087305876,921.4008676411847,1.0517518679970543,2.862292817679558e+39,0.07684327625905196,2.7299198437239064e+39,3.831742700622078e+35,1.0368164101010773e+36,2.3542690364034155e+36,0.34366169852316625,0.056298769981386686,0.000786890631265983
31,202.5292,47.1933,3.766e+37,1.9562e+36,2.2686e+36,3.5702e+35,0.014,0.2785,0.089811,0.017006,0.013093,0.048456,116.77382238347843,632.9991185919943,1.1917460489108045,5.201657458563536e+39,0.08707155523430274,1.3967941782080428e+39,4.341769539811233e+35,1.8842110700384388e+36,2.7262007038583803e+35,0.05339337016388022,0.006519295117778442,9.112050320697901e-05
84,202.5161,47.2055,5.068e+37,2.6298000000000003e+36,3.3550000000000004e+36,2.1193e+35,0.1631,0.07,0.079412,0.025405,0.014496,0.05919500000000001,213.07648365190238,764.6309985467758,1.336547042723319,7e+39,0.09765103040206302,5.0679832065238444e+39,4.869308561102022e+35,2.5356297671149246e+36,3.1760238199950126e+36,0.4101420151379717,0.07594978812211886,0.0010615538623613054
138,202.512,47.1655,1.1207e+38,5.8079e+36,7.5073e+36,5.5825e+35,0.1818,0.0987,0.061845,0.021973,0.018576,0.07463,242.64505143253223,332.59655374355253,1.560375647976527,1.5479281767955803e+40,0.11400443453806472,8.140045847637244e+39,5.6847609985697156e+35,5.607103946341154e+36,3.5401663425818105e+36,0.4461348428959595,0.08465770374372293,0.0011832648202163413
151,202.5111,47.1628,3.3064e+37,1.7185e+36,2.106e+36,2.3585e+35,0.1021,0.2256,0.015927,0.007660300000000002,0.0092163,0.023005,249.2191351250453,303.4288724825094,0.9084639338111252,4.5668508287292825e+39,0.0663743485145195,2.791382784712702e+39,3.3097160585874475e+35,1.6542632718999188e+36,1.988179227599576e+36,0.2988086191064184,0.04754428796608421,0.000664528812673754
162,202.5103,47.1633,2.6328e+38,1.3638e+37,1.8657e+37,1.3548000000000002e+36,0.2707,0.0851,0.08626900000000001,0.028665,0.019516,0.10092,255.09990021360352,308.82195862351523,4.599970420757912,3.6364640883977903e+40,0.33608383173012607,1.95139359787614e+40,1.6758613527716554e+36,1.3172466556551252e+37,5.271303789531882e+36,0.5738340984741251,0.12605522774161604,0.0017618800155806582
165,202.5103,47.165,3.0041e+37,1.5621000000000002e+36,1.8151e+36,1.733e+35,0.0188,0.1812,0.012916,0.0034676000000000004,0.011337,0.017317,255.12133835538987,327.18187088670464,0.7804107338670673,4.149309392265193e+39,0.05701850354901816,1.1835923841263187e+39,2.843192604617868e+35,1.503016058285309e+36,3.660898088038396e+35,0.07032478427694669,0.008754482015302479,0.00012236181859222894
168,202.5104,47.2183,1.4222e+37,7.4551e+35,8.820000000000001e+35,1.0962e+35,0.0599,0.1941,0.031983,0.0034023000000000005,0.0044808,0.016812999999999998,255.0599470546984,902.8199165216901,1.3822024985986907,1.964364640883978e+39,0.10098671718838206,1.4849449732799985e+39,5.035640530758689e+35,7.115573509847764e+35,1.1664244440079785e+36,0.1975142134030928,0.027893269825352045,0.00038986558157843166
176,202.5096,47.2144,2.751e+37,1.4312e+36,1.749e+36,2.3064e+35,0.0991,0.2092,0.017157,0.0065601,0.0053162,0.021711,260.87946313259965,860.693284009648,1.997237739212654,3.799723756906078e+39,0.14592252794530064,2.844987858755044e+39,7.27633709195034e+35,1.376384666403544e+36,1.929760641088325e+36,0.28888719006339075,0.04614729615513169,0.0006450029905579728
177,202.5087,47.1622,2.1228e+37,1.1067e+36,1.344e+36,1.6095e+35,0.0925,0.2231,0.015392,0.0046639,0.0071405,0.018739,266.83508077281857,296.92841919935034,0.8843149770600531,2.932044198895028e+39,0.06460997327406999,2.2314925092435516e+39,3.2217365725754324e+35,1.0620826498878382e+36,1.801239750763573e+36,0.2714852983697573,0.043073914171036135,0.0006020461819032541
178,202.5087,47.1628,3.5594e+37,1.8493e+36,2.1717e+36,1.9870000000000003e+35,0.0342,0.1368,0.018186,0.0045677,0.008876299999999998,0.021926,266.84251442866,303.40838849102755,1.0301659477907958,4.916298342541437e+39,0.07526616203640338,1.5914884235282987e+39,3.7531008700693465e+35,1.7808446316236913e+36,6.659718862282614e+35,0.12468725387787899,0.01592570664485877,0.00022259437211990586
185,202.5088,47.2144,3.099e+37,1.6110000000000002e+36,1.866e+36,3.8629e+35,0.0134,0.3512,0.011942,0.0063599,0.006152,0.017125,266.7482147766047,860.686512678711,1.988120718791752,4.280386740331492e+39,0.1452564186279034,1.355051057562256e+39,7.243121960594555e+35,1.5504965762212225e+36,2.609363530835878e+35,0.051555818150663284,0.0062398967555879386,8.721533878382277e-05
196,202.5079,47.2144,2.9255e+37,1.5214e+36,1.8672e+36,4.8553e+35,0.1054,0.6765,0.0078128,0.0044347,0.0049700000000000005,0.011128,273.35056039513984,860.6789668154877,1.9100355926242605,4.040745856353591e+39,0.139551349681139,2.932293353886528e+39,6.958642207029452e+35,1.4636907821023507e+36,2.0524396727619518e+36,0.3112747932687617,0.04908097895813199,0.0006860072170011132
235,202.5055,47.2183,5.3716e+37,2.787e+36,3.214100000000001e+36,7.2724e+35,0.0034,0.5526,0.033524,0.011626,0.0088919,0.026174,291.00340852930856,902.7790195264047,2.442825390407393,7.419337016574586e+39,0.1784781297181661,1.8900656770227783e+39,8.899702147820686e+35,2.6875273987834524e+36,6.620773137941781e+34,0.013476223846157459,0.0015832573857461933,2.2129265064552045e-05
270,202.503,47.1933,5.5142e+37,2.8608e+36,3.5287000000000005e+36,5.7762e+35,0.1095,0.3086,0.048265,0.01099,0.007501899999999999,0.030549,309.0518785961283,632.7603152672851,2.6822715274978584,7.616298342541437e+39,0.19597258465709186,4.141402166273444e+39,9.77205238166036e+35,2.7588732560823045e+36,2.1322784076606617e+36,0.3190113807075617,0.0509902010997671,0.0007126925072260142
289,202.5031,47.2261,1.6362e+37,8.5558e+35,1.0291e+36,5.2413e+35,0.0823,1.5191,0.028676,0.01208,0.017887,0.02613,308.69896702020117,986.9994284419628,1.3535440513241208,2.259944751381216e+39,0.09889286877405112,1.9651651356506764e+39,4.9312320676060444e+35,8.186261690910501e+35,1.6026165566253193e+36,0.25093879671041386,0.038324142013797566,0.0005356583867095981
290,202.5022,47.1878,1.5992e+37,8.3665e+35,9.7144e+35,5.8134e+35,0.0272,1.4103,0.018743,0.0090852,0.006936,0.017115000000000002,314.85976615231493,573.3543285918437,1.6573661100001351,2.2088397790055248e+39,0.12109076839166345,1.0546160418461597e+39,6.038116677030905e+35,8.001142706334232e+35,5.2966185103534246e+35,0.10253245845899997,0.012666059085969546,0.00017703412051641636
306,202.5022,47.2261,2.6305e+37,1.3689e+36,1.7181e+36,7.6485e+35,0.1418,0.5683,0.03089,0.010848,0.012615,0.025285,315.29985670850897,986.9923656376753,1.6889274135911052,3.63328729281768e+39,0.12339670579451816,3.606450735563943e+39,6.15310082713004e+35,1.3160959160212731e+36,2.761251855765131e+36,0.3793482303121152,0.06603114626435595,0.0009229205253392588
336,202.5006,47.2244,4.515600000000001e+37,2.3439e+36,2.9047000000000004e+36,4.2576e+35,0.1177,0.2798,0.027818,0.006239100000000001,0.0063369,0.020684,327.01561383833223,968.620079366739,2.0978512465289287,6.237016574585636e+39,0.15327356935853856,3.8228561517155594e+39,7.642892250038448e+35,2.2592521263583575e+36,2.2919558774580809e+36,0.336476972270017,0.05480864538303733,0.0007660630876758164
354,202.4998,47.2255,2.9962e+37,1.558e+36,1.8119e+36,3.6764e+35,0.0201,0.5106,0.020255,0.0034615,0.0043845,0.014264,332.89553408374746,980.4939323664104,1.9623695015089109,4.138397790055249e+39,0.14337497875231694,1.406852966405141e+39,7.149305118563585e+35,1.4990635178038162e+36,3.914045296253817e+35,0.0765322462880211,0.009359845133381908,0.00013082300817573414
368,202.498,47.1533,2.1342000000000003e+37,1.1126e+36,1.3874e+36,1.7261e+35,0.1343,0.214,0.052172,0.017078,0.012308,0.041433,345.3097721913997,200.72411888874282,0.6575394887902978,2.947790055248619e+39,0.04804126346318994,2.925222438264963e+39,2.395548050074917e+35,1.0677863158991067e+36,2.6152053894870038e+36,0.3702611651087432,0.06253866673697464,0.0008741059700498058
390,202.4965,47.185,1.858e+37,9.7013e+35,1.1673e+36,7.675e+35,0.0805,1.1173,0.022177,0.0067369,0.0055385,0.015716,356.665622234579,543.0714903211176,2.200301800744037,2.566298342541437e+39,0.16075882940893152,2.1772665619877262e+39,8.016140137903885e+35,9.29597495520823e+35,1.5675654047185686e+36,0.2507611016437502,0.03748594692722605,0.0005239428934401293
514,202.4842,47.2067,1.6450000000000002e+37,8.6015e+35,1.0277e+36,2.8252e+35,0.0717,0.5345,0.028844,0.0072159999999999985,0.0091418,0.019087,447.14302542420893,777.3480320226038,1.5015201384897627,2.2720994475138126e+39,0.10970432315963516,1.8185071482554157e+39,5.470338589891919e+35,8.230289989944856e+35,1.396204217618899e+36,0.22424418807747226,0.033388104281765314,0.0004666671485671711
519,202.4842,47.2106,2.9863e+37,1.5528000000000002e+36,1.9548e+36,3.1072e+35,0.1453,0.2368,0.064706,0.014081,0.011157,0.038542,447.1781316720306,819.4678380166472,1.5994476895239795,4.124723756906078e+39,0.11685912277204318,3.761047698427661e+39,5.827108271299518e+35,1.4941103341624508e+36,2.8294068733615906e+36,0.3896973457240524,0.06766097004380056,0.0009457006511410037
734,202.4777,47.1844,1.355e+37,7.1094e+35,8.4006e+35,1.378e+35,0.0595,0.2621,0.08370599999999999,0.01508,0.016189,0.042111,494.6528678896206,536.471384295293,1.6812920549917043,1.871546961325967e+39,0.12283884990850195,1.4821678679135886e+39,6.1252836865381225e+35,6.779357408130868e+35,1.1586352991398114e+36,0.20213844955909074,0.02770700425055838,0.0003872621386296608
965,202.4736,47.2267,1.8364e+37,9.5888e+35,1.1247e+36,1.5504e+35,0.0402,0.2104,0.066301,0.011207,0.0084381,0.029560000000000006,525.0660001556761,993.2875364729892,1.1726459266132,2.5364640883977905e+39,0.08567605880690718,1.2115066692799388e+39,4.272183968896858e+35,9.187905493942084e+35,7.828090592507634e+35,0.14523180121371435,0.018719690266763813,0.0002616460163514683
1044,202.4711,47.1767,1.5849e+37,8.2925e+35,9.589e+35,5.3451e+35,0.0209,1.1988,0.036738,0.007458,0.0092034,0.023362,543.0420930115645,453.27746785466775,1.9010529944567436,2.1890883977900552e+39,0.1388950615455875,1.0024957456785573e+39,6.92591680286492e+35,7.929596720403403e+35,4.069828193617153e+35,0.08112046336873982,0.009732376282969246,0.0001360298940732758
1217,202.4687,47.2139,3.0234e+37,1.572e+36,1.9678e+36,3.8533e+35,0.1363,0.3635,0.017564,0.005169600000000001,0.010547,0.020654,560.9159915031701,855.0241798201976,1.8405465266534045,4.175966850828729e+39,0.134474327566074,3.674929949150841e+39,6.705479622384897e+35,1.5126722647780712e+36,2.6541511138278376e+36,0.3688749495149626,0.06346999461094298,0.0008871231847936599
