ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Dist_to_center,H_old,L_Bol,F_Bol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Sigma_new,Mass_old,Mass_g,Mass_tot,L_Edd,F_Edd,tau_RP
1,202.5333,47.22,2.0722999999999998e+37,1.0825e+36,1.3358e+36,1.1488e+35,0.1209,0.1381,0.052421,0.015025,0.0065666,0.025442,87.10613087305876,921.4008676411848,1.0517518679970543,7315.020674588557,3.092349835860313e+21,9.740269870709471e+39,0.19913492683235529,0.0768427979609113,0.0005039242621199056,0.1592795146282175,0.07811552595863622,2.7025987700519472e+37,0.0005525327485534108,1.9119253966294343e+35,1.5076724005376005e+36,2.8724852640720017e+37,2.2840686544069553e+39,0.0572464114741324,0.1774121632273026
2,202.5333,47.2205,1.9726e+37,1.0317000000000001e+36,1.9419000000000002e+36,2.1371e+35,0.7899,0.1857,0.040538,0.011036,0.0053178,0.021216,87.11402641348127,926.8008413567638,1.3846352036274947,7300.079828665488,3.086033746748178e+21,9.271657745964148e+39,0.1895543872361647,0.10116382364110965,0.0032923885413441976,0.5768828199930163,0.5103676919332237,2.572574595282764e+37,0.0005259499588845525,2.5222083360967226e+35,9.850375758351124e+36,3.5828342544788436e+37,5.138497590176675e+39,0.31008474717421436,1.159122148331235
3,202.5333,47.2211,1.621e+37,8.5108e+35,1.5476e+36,2.752e+35,0.7414,0.3206,0.028617,0.0078644,0.0056341,0.018041,87.12350106206446,933.2808098848112,1.1284776882541558,7283.070446464623,3.078843205176689e+21,7.619059721285554e+39,0.15576785040546637,0.08244851366037126,0.003090235301370538,0.5534577178607065,0.47903102519216617,2.1140339749332658e+37,0.00043220363142647245,2.060400517499978e+35,9.245560940931159e+36,3.0591940742013813e+37,4.2925545534417446e+39,0.27611763052443283,1.0879518429836406
4,202.5325,47.2116,1.5544e+37,8.138799999999999e+35,1.733e+36,1.4290000000000002e+35,0.9865,0.1034,0.06332,0.01379,0.0078119,0.033182,92.84254691841704,830.6727631591646,0.9116391919560448,7557.11154554121,3.194691264320572e+21,7.306024941866912e+39,0.14936801151774023,0.06660595132880576,0.00411183858214464,0.6387916231733723,0.6373942626815107,2.0271773045257668e+37,0.00041444622127656305,1.6041335915308975e+35,1.2302058090408132e+37,3.273424449481889e+37,5.294987817457397e+39,0.39209728181173004,1.447618685059835
5,202.5325,47.2122,1.2588e+37,6.6194999999999994e+35,1.4802000000000002e+36,1.2302e+35,1.0707,0.1215,0.050407,0.0099703,0.0065514,0.024992,92.85195519184016,837.1527307589515,0.8122033753719969,7525.662646390753,3.181396565309845e+21,5.916639344327116e+39,0.12096272059864346,0.05934099402934644,0.004462793279171075,0.6659080757055852,0.6917973006113465,1.641669319954346e+37,0.0003356310495000885,1.4351371307934349e+35,1.3352066495083612e+37,2.9912273407706417e+37,5.0377485388838183e+39,0.42830512042176405,1.5711762048591635
6,202.5325,47.2127,1.4427999999999998e+37,7.5649e+35,1.4014e+36,1.3301e+35,0.7687,0.1345,0.05612,0.010538,0.0084753,0.027624,92.85979541973865,842.552703801508,0.7476377127238737,7500.131402255805,3.170603494159098e+21,6.781480176354594e+39,0.13864395716533426,0.054623712007138406,0.0032040246508814848,0.5674050624076016,0.4966700149247615,1.8816336946537419e+37,0.0003846905610253636,1.325548637456094e+35,9.586003095891263e+36,2.853489490617429e+37,4.04935887772422e+39,0.27349741299770525,1.128012654034967
7,202.5325,47.22,2.5569e+37,1.3325e+36,2.2734e+36,1.7022e+35,0.629,0.087,0.053589,0.013939,0.0062082,0.02785,92.97426275499048,921.3923151794424,1.5113772570656423,7201.211709701969,3.0442382652246956e+21,1.201799740984271e+40,0.24570192270310728,0.11042379644055131,0.0026217399575965317,0.5044976736384629,0.4064074923737153,3.334591900374378e+37,0.0006817405707553037,2.7908752583830578e+35,7.843887013549633e+36,4.1468893543131718e+37,5.415440111052092e+39,0.25224672861956454,0.9230128260543701
8,202.5325,47.2205,2.3529999999999996e+37,1.2274e+36,3.7515000000000003e+36,3.4611e+35,1.5516,0.1124,0.038653,0.009558,0.0049543,0.022638,92.98210298393002,926.7922889365832,1.7921635904698126,7186.0342417204965,3.0378221465684185e+21,1.1059622161742694e+40,0.22610842196425807,0.13093852061248376,0.006467236435940825,0.7891844059969922,1.0025148889778326,3.068674856889558e+37,0.0006273751664074581,3.316358544760565e+35,1.9349085993996204e+37,5.036747041736784e+37,1.03704441928128e+40,0.7988430069229253,2.2768627995325286
9,202.5325,47.2211,1.2189999999999999e+37,6.4402e+35,2.4065000000000003e+36,2.2078e+35,1.8891,0.1122,0.017813,0.0046321,0.0039533,0.012976,92.991511258826,933.2722575144294,1.2480014385861429,7168.754267406376,3.0305172149611067e+21,5.729570512182042e+39,0.11713819225432665,0.09118110526989028,0.007873972899675051,0.8488743999697046,1.2205793224851917,1.5897639823834983e+37,0.0003250192638549475,2.314965316824575e+35,2.3557848898722754e+37,3.9686985254240197e+37,9.250089950274548e+39,1.0095978521648026,2.772120079013212
10,202.5317,47.2116,1.8666e+37,9.7473e+35,1.7931e+36,2.1323e+35,0.7512,0.155,0.072927,0.014114,0.0094863,0.038677,98.71160803581222,830.6642701380376,0.9704272993609656,7448.823937503152,3.148913790566401e+21,8.773434223165709e+39,0.17936845747491886,0.07090110100580113,0.0031310827601693392,0.557077677580303,0.48536297022437985,2.434334248988546e+37,0.0004976874142015135,1.7324016959723247e+35,9.36777094527581e+36,3.3884353604758505e+37,4.785968098810366e+39,0.28080706889961193,1.1023326469507833
