time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra
6.0,1000000.0,1609472694.8270438,51734.66267133634,67555.2838956622,25.10889088525386,78305.57728382148,95462.72547338299,16.588856695248236,90654.98778710983,114366.02480018798,14.329051624280336
6.1,1258925.411794166,2038048342.2118702,51346.086560365904,67130.06975137595,25.29890955706641,78429.45053262812,95510.06097939593,16.56265587962511,90125.37661438104,113640.88581822663,14.413254610385977
6.2,1584893.1924611141,2562058954.5266824,50881.92965766321,66622.43255866795,25.529692146892874,78540.3399118526,95532.73075244825,16.539271429916063,89475.27782343836,112765.58941190144,14.517976714901268
6.3,1995262.3149688789,3171898194.1881466,50344.84420353347,66036.479965627,25.802046278034354,78588.2854044229,95481.05322189175,16.52918107724606,88709.93007295782,111750.40078000815,14.643231021957313
6.4,2511886.4315095823,3832335500.278723,49739.783809766326,65378.803075590426,26.115915681662923,78437.99632402867,95229.45516648679,16.56085138424252,87817.12720758446,110613.78787789748,14.792103104550314
6.5,3162277.6601683795,4505489249.975692,49028.82366779142,64604.94537516451,26.494618936847022,77980.14884881364,94668.76435297575,16.658085668937044,86729.81664098038,109293.74023620276,14.977548094875303
6.6,3981071.7055349695,5099890616.527303,48408.15603413661,63922.698728466195,26.834321040528113,77567.7579715544,94163.93318718029,16.746648787713685,85768.95053320788,108127.08823756565,15.145340964584326
6.7,5011872.336272725,5632682399.921681,47822.06942804065,63265.92124903732,27.16319087685332,77210.5291315378,93711.5904226269,16.824130265795624,84820.32375548278,106971.82497194836,15.314725793133189
6.8,6309573.44480193,6114432953.6875515,47146.288446372244,62490.29217207432,27.552540036689862,76665.90264852646,93042.68231014443,16.943647112005497,83745.30470935375,105652.18200372752,15.51131737484634
6.9,7943282.347242822,6562676124.096706,46364.47235164452,61572.28636756289,28.017141878547122,75829.98221746288,92049.45004610355,17.13042733248661,82509.8383229234,104137.03586508565,15.743577086117057
7.0,10000000.0,6947257344.12999,45686.930395039286,60782.99161872089,28.432639023195268,75083.43990954313,91168.64164976118,17.30075235717719,81468.79498981302,102857.51173350863,15.944755291426967
7.1,12589254.117941663,7282980941.073463,45082.59788279959,60084.923096185965,28.81377873069752,74387.65589431564,90354.9061537365,17.462574729408345,80572.22500843919,101752.69427430055,16.12218106008543
7.2,15848931.924611142,7581789666.420557,44551.55902766247,59477.361743432586,29.15722880075732,73767.57865053706,89633.17493785277,17.60936204987586,79812.79292353321,100812.20922157714,16.275586311639813
7.3,19952623.149688788,7869264766.089621,44005.82921709772,58849.28062570986,29.518816554768964,73088.27665992251,88845.25893949102,17.773028170361805,79056.98796480699,99867.47410208828,16.43118506586999
7.4,25118864.315095823,8151485181.223917,43493.22766251164,58266.12084308363,29.866718793088197,72449.34000581277,88107.87274508599,17.929769959198776,78364.52552814587,99000.94935240861,16.57637803898198
7.5,31622776.60168379,8436744640.070448,42939.92585202461,57632.054450196054,30.251565977931293,71713.3114446673,87261.22609065929,18.11379190043797,77638.74768099829,98085.33249820456,16.73133633398268
7.6,39810717.05534969,8721449250.188984,42368.37447221103,56975.95775485073,30.65966103684248,70923.67607429424,86355.07015835233,18.31546349401385,76913.4585721861,97163.08429285228,16.88911179024463
7.7,50118723.36272725,9021324510.225477,41716.58223118107,56216.304660039656,31.138696665065293,69981.4877782771,85271.7783746145,18.56205178311773,76086.41243073352,96105.28139039846,17.07269351387234
7.8,63095734.448019296,9342300502.116339,40983.746846869246,55349.24790031336,31.695491504316443,68884.39471848548,84007.19176078276,18.85768184954969,75149.6222045683,94902.1078429637,17.28551603977371
7.9,79432823.47242822,9655126426.706957,40280.903947090075,54521.79464671888,32.24853150530751,67822.44596744255,82787.21512553215,19.152951231271892,74276.06015679646,93776.20217443377,17.488811297446528
8.0,100000000.0,10000455269.002893,39472.294744944935,53556.417114922115,32.90915839562021,66577.49297564983,81352.25157464632,19.51109814956683,73255.46440267925,92457.96963390308,17.73246556542873
8.1,125892541.17941661,10376118283.533775,38559.84355769332,52452.130611422326,33.687896011726124,65148.53345539067,79700.24466867454,19.93905205693491,72082.7967530211,90941.71453747619,18.020943394452253
8.2,158489319.2461111,10738054203.439934,37711.766429293166,51425.9712510936,34.44548274967525,63811.89260938406,78157.21701486543,20.356706984882177,71006.14004488775,89547.0601307805,18.29419257516061
8.3,199526231.49688828,11142871776.09797,36732.969315761424,50221.71601147726,35.363326847705274,62253.45907045371,76349.11887016518,20.86631039296774,69718.83763494884,87881.55436476688,18.631980165843068
8.4,251188643.1509582,11497604947.42865,35929.79021180873,49240.61131292337,36.15384315751081,60973.03725122509,74869.59309058242,21.304498817203008,68691.88839206132,86550.32227454371,18.91052976424105
8.5,316227766.01683795,11870136303.276356,35079.04451875211,48189.98542875513,37.03065513388191,59609.48310207623,73288.73008175814,21.79183466119932,67579.04635237252,85108.92888130227,19.221934462151456
8.6,398107170.5534969,12263636602.841276,34204.663527398116,47104.64729799574,37.977277541686504,58205.44008066136,71658.87433333574,22.317501563424997,66420.78877839923,83610.4458746369,19.557129987327837
8.7,501187233.6272715,12793714668.739622,33054.63784962008,45651.46903371407,39.29857001942408,56347.921591202336,69487.58958570533,23.053201667740204,64815.90692718087,81541.13413624046,20.041376593856747
8.8,630957344.4801943,13412750622.762268,31798.523425983643,44052.43201951434,40.85095344202503,54313.653175617306,67103.38919079429,23.91663834137292,63019.99655145537,79230.26872128474,20.612505094940396
8.9,794328234.7242821,14093484916.22903,30521.855694155518,42417.09874257521,42.55966652279073,52241.57036290849,64669.00527673258,24.86525559963431,61160.44113709993,76840.40684606986,21.239218943632284
9.0,1000000000.0,14717187791.659737,29456.924205497453,41055.4237829775,44.098290471127044,50513.12078978331,62640.771355438235,25.716090783738178,59614.2212650267,74853.89339823087,21.79010263717177
9.1,1258925411.794166,15238444465.324257,28642.516603628763,40022.22266487622,45.352160146271075,49192.58435730807,61097.65090795356,26.406419117255016,58453.305481304415,73362.53435988868,22.222866428237655
9.2,1584893192.4611108,15717300332.25973,27944.99132388862,39140.704193804915,46.48417975673362,48061.895271222886,59779.109065184224,27.02764825792831,57467.08302741185,72095.93007951745,22.604244579116287
9.3,1995262314.9688828,16307937722.045076,27119.83709536969,38082.04293949558,47.89851780569084,46720.17532338129,58202.90314936218,27.803834018360593,56253.53727357306,70538.82011179076,23.0918812035354
9.4,2511886431.509582,16876303678.722551,26380.85506263952,37134.84279874683,49.240253847557796,45518.48504762631,56792.000363583415,28.53785662332231,55168.27076651956,69146.62583917452,23.546143135382362
9.5,3162277660.1683793,17457892162.569798,25669.326773535937,36219.373627143446,50.6051448664878,44360.3857088403,55429.82117949915,29.282883348354893,54112.22777596694,67792.50925377896,24.00566477096568
9.6,3981071705.5349693,18036330773.722416,25005.011402988443,35363.20481142343,51.94958638750117,43278.66786174551,54156.45422835205,30.01478705744084,53121.17730553103,66522.10001355215,24.453524298392136
9.7,5011872336.272715,18600498519.067215,24395.375151184377,34576.36118709201,53.24779766450669,42285.516713391386,52986.55452399554,30.71973812699373,52207.74897263217,65351.480473151554,24.88136388873899
9.8,6309573444.801943,19139836248.20674,23846.51270063821,33868.38890787286,54.473373792941835,41391.44454913286,51933.67686480588,31.383297059324637,51386.21631265975,64298.71657235071,25.279152527911886
9.9,7943282347.242822,19737588267.2465,23271.51870711899,33125.65325366239,55.81930497740239,40454.657871839954,50829.672461763905,32.11002313046923,50522.29553413882,63191.72794255406,25.71142079484972
10.0,10000000000.0,20176780860.295193,22875.34227070188,32617.055859869193,56.78603557612006,39809.61056023504,50071.90344851012,32.630311668950185,49935.766392090045,62440.159884113,26.01341871476243
10.1,12589254117.941662,20788734634.048275,22342.06451795102,31925.927703400223,58.141448788508406,38940.182385439795,49045.57001525276,33.358857622755046,49127.52686697829,61404.77276118135,26.44138801281975
10.2,15848931924.611109,21284670026.539597,21936.58626969829,31403.55111252456,59.216141656204286,38279.5847897138,48268.114552708896,33.93453735551117,48521.51328983826,60628.4331819495,26.7716299827781
10.3,19952623149.688828,22018307569.06995,21358.285762181986,30649.87259356554,60.81948778399024,37336.111247941415,47151.144969082794,34.79205403512993,47633.14836510468,59490.493855755194,27.27092465195157
10.4,25118864315.09582,22602989032.742966,20940.837430812073,30116.026375977297,62.03190317922379,36657.82810072613,46355.23897828247,35.43581459410763,47020.71201724555,58705.32233492715,27.626123558562288
10.5,31622776601.683792,23536990997.216114,20372.023756355873,29364.13086731873,63.76391543303226,35738.23704922079,45256.66186748274,36.347623924787925,46109.3930563083,57539.779983544424,28.172134003448605
10.6,39810717055.34969,24020703575.492294,20142.18581666062,29057.597323544425,64.49151109138965,35344.2920296398,44788.74472038726,36.75275201185684,45744.43853409666,57072.40240322141,28.39689460898642
10.7,50118723362.72715,24598371762.12223,19877.954287938137,28704.14673448202,65.34877690045941,34889.21565016828,44247.91271878109,37.23213536884813,45323.10837577782,56532.59886409024,28.660876240655835
10.8,63095734448.019424,25301721631.549305,19557.927083799776,28279.49904928589,66.41808175448142,34349.26401267028,43606.36409011023,37.81740416682124,44817.390845737085,55884.999223379265,28.984284347814892
10.9,79432823472.42822,26785461659.557117,18773.57946687267,27245.027181914014,69.19298486962376,33057.923894051135,42070.22192270103,39.294663638382886,43582.214227033815,54302.920178545035,29.80573665287151
11.0,100000000000.0,27087169621.33858,18674.757938690163,27111.740999995018,69.55913454218037,32886.318351943904,41865.62753170173,39.499708848473645,43423.17805810338,54098.843511137035,29.91489932546722
