time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra
6.0,1000000.0,1609472694.8270438,32389.626192321775,46278.45738064255,40.105433520191056,44727.80583832266,59757.12026885406,29.042336766875795,54362.23207969554,75138.22905322503,23.89526607545573
6.1,1258925.411794166,2038048342.2118702,32305.63424169705,46164.642225094976,40.20970429744339,44963.94176013221,59930.117123294454,28.889815909150855,54359.86371925636,74973.77667338135,23.896307148758435
6.2,1584893.1924611141,2562058954.5266824,32199.107311182262,46022.677088656295,40.342733338724486,45220.305955955,60113.676123505305,28.726032974328792,54337.022086016295,74764.22958701504,23.90635243027607
6.3,1995262.3149688789,3171898194.1881466,32062.627923925087,45846.34410497664,40.514458237239126,45468.959477449156,60280.065676286766,28.568940546005976,54277.667884535535,74497.6990757475,23.93249471888425
6.4,2511886.4315095823,3832335500.278723,31874.686767418545,45615.376152234705,40.753341655667754,45616.08787565069,60343.41411579884,28.476795369674615,54125.73677506806,74143.51977171627,23.999673305109788
6.5,3162277.6601683795,4505489249.975692,31603.813457148455,45292.876021996875,41.10263471088106,45590.177982863876,60232.29342305773,28.492979353760347,53833.618430595736,73658.20801142896,24.129903169609864
6.6,3981071.7055349695,5099890616.527303,31361.552584626577,45000.14318001485,41.42014323094353,45546.46178252717,60112.021203319804,28.520327357202767,53564.500193160515,73218.2111506114,24.251136392865384
6.7,5011872.336272725,5632682399.921681,31133.529422836036,44714.441778466695,41.72350594620347,45513.7333297948,60000.42023224162,28.54083602826823,53289.73423411416,72771.67207232618,24.376177113085078
6.8,6309573.44480193,6114432953.6875515,30840.143259943554,44339.92442298265,42.120426907588154,45370.99610257642,59754.415254150925,28.630625544635894,52925.05265679969,72203.31912217393,24.544141853264783
6.9,7943282.347242822,6562676124.096706,30457.496928987945,43846.91615586742,42.64959799646818,45050.04628009023,59302.43892477841,28.83459856897173,52424.35564497153,71469.31979736272,24.77855920246486
7.0,10000000.0,6947257344.12999,30124.626201468094,43423.42207166551,43.12086700470642,44767.53985153156,58908.17139837416,29.01655986252636,52002.017900615094,70848.14001357104,24.979799870124562
7.1,12589254.117941663,7282980941.073463,29824.873216244036,43047.57792632914,43.55425052712389,44504.76715630904,58547.29941820694,29.18788442230626,51635.12138011942,70307.70538029143,25.157295369506805
7.2,15848931.924611142,7581789666.420557,29562.383553418418,42722.8968911501,43.940976466012714,44276.302403126116,58234.38994513861,29.338493268315116,51328.83793614064,69850.66289182071,25.307411042816028
7.3,19952623.149688788,7869264766.089621,29283.500176435515,42377.078964318855,44.359451301019945,44009.21673375663,57877.162106077,29.516544406108935,51011.60350654609,69376.12356957537,25.464794491968973
7.4,25118864.315095823,8151485181.223917,29024.84730799048,42060.97654904384,44.75475740547266,43768.53408881555,57554.874035384986,29.67885553041498,50728.05816091715,68947.76982604696,25.607130394768383
7.5,31622776.60168379,8436744640.070448,28735.21495916486,41705.617251022246,45.205856362863045,43470.226307819474,57164.87448014507,29.88252213829249,50415.29136360841,68477.02770308648,25.7659921199556
7.6,39810717.05534969,8721449250.188984,28429.956042165384,41331.570711001805,45.691241944708295,43139.054797314595,56737.120095189275,30.111925402706383,50094.60013675678,67992.43159540712,25.930938593256922
7.7,50118723.36272725,9021324510.225477,28069.78663012971,40883.8401689784,46.277516003832815,42719.39378145672,56200.361476569604,30.407734872021035,49707.593345038775,67413.21313436657,26.13282825791144
7.8,63095734.448019296,9342300502.116339,27652.86728246236,40358.188877489425,46.97523720528737,42206.719652926266,55548.49987918627,30.77708977816612,49247.65168179615,66731.16177060959,26.376892209870807
7.9,79432823.47242822,9655126426.706957,27251.685952325595,39855.925352358856,47.666775636284854,41709.40437973967,54920.01577271868,31.144055383130542,48820.3094954254,66093.53453689392,26.607778881895864
8.0,100000000.0,10000455269.002893,26779.95786499555,39257.21324051613,48.50642433974628,41104.07817552729,54156.82775862213,31.602703616241264,48304.03989564085,65329.033570774634,26.89216063100401
8.1,125892541.17941661,10376118283.533775,26236.397997162043,38558.399992198094,49.5113696682186,40384.48445402629,53251.82005577746,32.16581857021802,47692.85514657635,64431.0998376314,27.236784126421693
8.2,158489319.2461111,10738054203.439934,25728.057962343486,37905.84693947542,50.48962505841923,39705.351271483174,52401.23168699049,32.715993144555206,47130.26345659248,63603.16926021686,27.561908309644693
8.3,199526231.49688828,11142871776.09797,25130.282650087407,37125.72078524618,51.69062433905739,38887.10178192288,51375.367724277174,33.40439221428055,46438.58944673332,62595.63383276604,27.97242585264133
8.4,251188643.1509582,11497604947.42865,24639.73239833425,36491.04283445347,52.719728404510505,38215.79867512813,50538.73801700852,33.99117760282279,45892.45358018505,61795.55075852382,28.305307270842196
8.5,316227766.01683795,11870136303.276356,24113.816189333593,35803.34347005778,53.86953229636852,37485.82454009569,49628.20062652603,34.65309929652368,45290.5821587386,60919.31715431244,28.681459545985636
