time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra
6.0,1000000.0,2024361696.5280664,41437.9996082191,54587.977495547944,31.34803832910765,62318.373341113744,76551.31529496484,20.84457488788465,72450.6758696566,92143.42244574326,17.929439365575888
6.1,1258925.411794166,2562472914.3301873,41123.70326417444,54244.18719576567,31.587622147143644,62415.81024069605,76586.89764140193,20.812034562887597,72021.4289057823,91555.88164560792,18.036298636886787
6.2,1584893.1924611141,3218251599.4320774,40752.76740542652,53838.64979728116,31.875135915972884,62503.18630643968,76603.74431097115,20.782940466927275,71501.08514827612,90855.10718199483,18.167556440663596
6.3,1995262.3149688789,3976802508.981478,40329.5278333663,53377.10244727627,32.209650590684156,62540.87651036781,76562.72604717324,20.77041564623189,70897.64102850718,90053.88519123521,18.32218930214739
6.4,2511886.4315095823,4790703357.154038,39858.644380765065,52865.551632276096,32.59017009185766,62421.92672288093,76364.89792689455,20.80999527244403,70201.77011373453,89167.93702750032,18.503806925316532
6.5,3162277.6601683795,5610829243.050928,39308.14408768986,52266.71202705092,33.04658691344341,62063.4910561056,75927.14667903676,20.930179367862173,69357.85406243471,88144.32941237415,18.728953159806
6.6,3981071.7055349695,6324155562.429997,38832.98820776399,51744.753635823276,33.45094106716946,61746.27196487301,75539.26428753395,21.03770735727966,68621.42735850127,87250.25913278486,18.929947248307585
6.7,5011872.336272725,6955599635.786952,38388.285593940695,51246.94259405805,33.83844784683579,61477.849448948284,75198.46311561554,21.12956148667335,67900.82502182652,86371.91127633753,19.13084266034235
6.8,6309573.44480193,7520742887.56973,37877.38990003641,50661.57141264154,34.29486570822957,61069.403516787694,74695.4967407621,21.270880755252687,67087.894271641,85372.47248687407,19.362658704718143
6.9,7943282.347242822,8041965318.9772,37287.99400396169,49971.28185514569,34.83695046351881,60443.20146877623,73949.78789270825,21.491250768228053,66156.91426043952,84228.53002704878,19.63513586631678
7.0,10000000.0,8484768533.796323,36779.67116060389,49380.4330986622,35.318423439071104,59886.78919601528,73291.9198396886,21.69092745560706,65375.700284057595,83266.6534466304,19.86976803851953
7.1,12589254.117941663,8867913032.6266,36328.512858824455,48860.33932090812,35.75703759325407,59370.945747871076,72687.51551242189,21.87938870834948,64705.83072598595,82439.92485553103,20.075470563092853
7.2,15848931.924611142,9205916438.084227,35934.59454538127,48410.52058412318,36.14900951114147,58914.64566913563,72155.56312782718,22.048846857115592,64141.64005904575,81740.41384200241,20.252054652862043
7.3,19952623.149688788,9528882877.916555,35530.71453891331,47946.59620306179,36.559917717875685,58415.3257547115,71575.64845429451,22.237315006246096,63581.47772328057,81039.38186627954,20.43047828572828
7.4,25118864.315095823,9843814888.117165,35152.50554455022,47517.04235068703,36.953269187418904,57947.36531911691,71034.99677323498,22.41689493295148,63069.54733510454,80398.20275788347,20.596310816979276
7.5,31622776.60168379,10160258048.80311,34745.57481515452,47051.6906310401,37.386055833315275,57409.83511668705,70416.13496744815,22.62678506844249,62534.89137221688,79723.0911227553,20.772403557370247
7.6,39810717.05534969,10474482664.327366,34325.983150810855,46571.13306789592,37.843053010101904,56834.07706260508,69754.90536685057,22.856005888317636,62001.58936896941,79044.38013527918,20.951075822745345
7.7,50118723.36272725,10804408804.0466,33847.0352518095,46014.474486551975,38.37854601845974,56145.98979127522,68963.04497468108,23.136113635703637,61393.28541579272,78265.37604112347,21.158665661926722
7.8,63095734.448019296,11155927118.489279,33309.529850790175,45380.810221353844,38.997848538206995,55346.238478587606,68040.24365913573,23.470429711362552,60706.351423209686,77381.643254867,21.398090472348123
7.9,79432823.47242822,11496766288.523115,32794.08149163989,44775.915334556514,39.6108060026365,54571.841246757795,67149.85939901012,23.803484916814597,60065.38716284861,76554.35398676376,21.626431816349836
8.0,100000000.0,11871132792.330078,32202.18381828413,44072.13286870525,40.33887910615673,53665.77847462882,66104.60820031939,24.20536954689139,59319.14236276148,75588.72166402379,21.898495970425014
8.1,125892541.17941661,12276758537.252947,31534.168403187326,43267.35975584225,41.1934122819203,52625.34921126033,64900.66957766243,24.6839217120492,58462.30506032432,74478.43755439394,22.219445481317013
8.2,158489319.2461111,12665478044.414618,30913.56504226931,42519.86888683025,42.02038807959636,51652.46198568972,63776.690367181225,25.14884963973038,57676.0015965617,73457.76515760444,22.52236569875951
8.3,199526231.49688828,13098565669.217783,30197.54347846709,41643.67302689468,43.016744091329,50518.44027007601,62459.88274717936,25.713382936120595,56737.67696869052,72240.66936208787,22.89483936250731
8.4,251188643.1509582,13476046176.241674,29609.432204707242,40928.800028909274,43.87115534736556,49585.52913702087,61381.22078915334,26.19715918348763,55987.76958856637,71266.37419015901,23.201495782844642
8.5,316227766.01683795,13870784366.749432,28986.584461819028,40163.752159160016,44.81383454166653,48592.11110174361,60228.67236673395,26.732734399625382,55176.003105792035,70212.25719378606,23.5428433898946
8.6,398107170.5534969,14286403668.874046,28345.45926883345,39372.32262786052,45.827445859319106,47567.48552339208,59038.47243876096,27.30856982888439,54330.10170459113,69114.99928803864,23.90939753919564
8.7,501187233.6272715,14846003714.140589,27498.18166286879,38308.50770880581,47.23948717503962,46205.793730834586,57445.32777076661,28.11335754921003,53154.22881109586,67594.09032553696,24.43831900217195
8.8,630957344.4801943,15493819036.58098,26574.428673843864,37140.7082100953,48.88157769798277,44717.35364661251,55699.475454369596,29.04912509504917,51842.643437359395,65900.83027298494,25.056592678757983
8.9,794328234.7242821,16205857915.036364,25628.187086782335,35937.364586284166,50.686378853147815,43189.50353914265,53902.90019572679,30.0767523021587,50474.51572745396,64136.44371604296,25.73575954674195
9.0,1000000000.0,16855199624.199926,24835.636460936912,34931.02102611778,52.303873993450935,41909.60591060286,52399.758445983796,30.995280718479897,49331.823451230965,62663.39213263345,26.331886987396295
9.1,1258925411.794166,17393892991.054623,24229.13716172674,34166.36678217036,53.613134934575776,40930.662162017674,51255.10995678431,31.73659871071985,48472.41101446142,61555.9574884108,26.79874949097234
9.2,1584893192.4611108,17882941161.366974,23712.442916395314,33517.3055061219,54.781365402964965,40096.67872155064,50282.23973314016,32.39669821585074,47746.203660219144,60620.57879222028,27.206351508995297
9.3,1995262314.9688828,18481718452.784508,23102.55687528871,32740.72527216313,56.227542562159215,39109.99296097293,49122.47620662129,33.21401773956456,46856.909502698065,59475.563523677374,27.7226990381259
9.4,2511886431.509582,19054683328.664238,22555.250491769664,32044.432767873706,57.591911935272044,38224.37411806024,48082.203851002116,33.98355185588896,46059.96228123555,58449.75158866875,28.202367862754457
9.5,3162277660.1683793,19639120853.022408,22026.383396337573,31369.291118106106,58.97472937913133,37367.93264347165,47074.381251561506,34.7624261795211,45282.216804097545,57448.973907808555,28.68675810682605
9.6,3981071705.5349693,20217869300.635025,21531.358265777217,30736.381890492252,60.33061100769854,36565.96642049754,46129.93676686206,35.524837086538156,44550.73692311233,56507.97050401315,29.15776684551532
9.7,5011872336.272715,20780689765.78397,21075.37285809583,30152.60405909698,61.635920215808,35826.92324679744,45259.01113630923,36.25764878138446,43874.16989091616,55637.79025884094,29.607397774811208
9.8,6309573444.801943,21316443243.54975,20663.939086058966,29626.137699508276,62.863135367853324,35160.086615954264,44473.4428956162,36.945301477458955,43264.27465813671,54853.45147645069,30.02477240782071
9.9,7943282347.242822,21908567978.327522,20231.424201092592,29071.96770132379,64.20704677478157,34458.99089991792,43646.8939687779,37.69698316972754,42620.80755719817,54025.979741430594,30.478071028023347
10.0,10000000000.0,22337335221.773506,19935.766020143492,28695.271226672816,65.15927196815335,33979.89019878783,43083.95563243148,38.22849315876658,42187.0834020131,53468.33471764348,30.79141517372622
10.1,12589254117.941662,22935415888.935547,19535.353683992293,28180.646298839485,66.49482886324346,33330.44594578143,42316.97673669176,38.973375937216105,41586.360161079385,52695.94505209903,31.23620328801298
10.2,15848931924.611109,23404757880.46472,19238.47266364541,27801.213179512186,67.52095255746038,32849.1145561373,41750.42953816975,39.54444488237519,41147.07380694111,52131.24132697588,31.569681141721222
10.3,19952623149.688828,24095977525.24174,18814.078082847467,27253.10621790062,69.04404214120277,32160.5099984439,40934.854196686974,40.39115051542568,40502.555709395,51302.45189118268,32.07205020148107
10.4,25118864315.09582,24629942968.70403,18513.73055460918,26871.85315631911,70.1641409422263,31674.681922275533,40364.827931922526,41.01067228354598,40066.0167958472,50740.987267890945,32.42149092631139
10.5,31622776601.683792,25481679486.7381,18096.977008939415,26327.308586864136,71.77994420605879,31005.13716553262,39564.78171056656,41.896282963200534,39409.12919733586,49897.09354099896,32.96190569183688
10.6,39810717055.34969,25893815534.343292,17937.10968067932,26116.739527996793,72.41969431670464,30733.916369510018,39242.59515821856,42.2660094594612,39159.485041132495,49576.01110444418,33.17203989366947
10.7,50118723362.72715,26369979342.07712,17756.19657625308,25877.910179377006,73.15755907643343,30426.006011868678,38876.62351646259,42.69374033165187,38875.989614130995,49211.24059576355,33.41394040109085
10.8,63095734448.019424,26939018106.25728,17538.344166509876,25592.344798179158,74.06628514455139,30062.136913595634,38444.28825382278,43.210501094236115,38537.30550924542,48775.72919053996,33.707597945278216
10.9,79432823472.42822,28156726150.295742,16998.98311211129,24888.504373415097,76.41633569683938,29180.064062412628,37394.65441906864,44.51669459058061,37699.67938238522,47698.409524921386,34.45652645541978
11.0,100000000000.0,28385257961.30357,16931.939569930033,24799.514390190514,76.7189130716563,29065.51613923369,37258.11321061767,44.69213599295292,37593.98157498005,47562.201920934465,34.55340311345273
