time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1434444049.1652508,9674.595638343131,14797.629708700486,134.2691776028033,12790.523439429644,18139.353257473547,101.55956526341545,15965.312817777587,23368.68377493607,81.36389276090766,1000000.0007200831
6.1,1258925.411794166,1475206489.5686917,9642.095963313024,14725.00433772433,134.72174566012757,13168.35007376263,18424.26380220006,98.64561564080844,16109.147245630003,23272.495072738897,80.63741551262964,999063.8307200831
6.2,1584893.1924611141,1432733470.9646986,9616.738231320891,14682.117034195968,135.0769843946951,13297.97941835422,18517.027520375636,97.6840134229029,16140.55149362883,23209.106024900026,80.48052140676576,995590.6407200831
6.3,1995262.3149688789,1324465620.4579816,9570.395949944901,14615.952402931638,135.73106136820584,13416.417864655643,18590.508152871986,96.82167126160402,16146.99952674874,23105.930222649633,80.44838286197427,989451.6607200832
6.4,2511886.4315095823,1139349383.4029644,9459.479273313864,14481.088966098794,137.32256950597784,13406.389925097721,18536.498456688,96.89409358205963,16032.326489404193,22896.44121554053,81.02379906363014,978838.9424290252
6.5,3162277.6601683795,922443114.9891881,9240.090387224844,14220.710409138364,140.58304037761042,13214.369249975749,18291.785652329625,98.30208127432067,15756.324696062842,22519.425291793308,82.44308397151725,966652.4866
6.6,3981071.7055349695,647001255.7674546,9121.998283892352,14062.838730307658,142.4030085922925,13181.758602740047,18206.09291528189,98.54527299035664,15636.98404762145,22285.44117117714,83.07228529772604,951659.2431
6.7,5011872.336272725,460662481.7840297,9004.405133390685,13882.703659030978,144.26272260706804,13207.191053121542,18152.54666567026,98.35550911433049,15476.488216495658,21961.872388282638,83.9337698467962,934670.0541000001
6.8,6309573.44480193,330862499.9765223,8625.50462614891,13373.016289143685,150.59988444756928,12849.903029057888,17621.899803063985,101.09025702859628,15009.097512188571,21198.67550757095,86.54750886554702,919045.478
6.9,7943282.347242822,244533861.29090843,8052.343146510887,12618.731824599949,161.31950369785991,12064.261591411225,16613.569363432664,107.67339469203672,14203.27041993144,20066.203230480904,91.45780947584538,904473.525
7.0,10000000.0,166653100.23657706,7861.2764173062305,12389.942513690874,165.24034152269633,11917.489784939988,16394.857605759902,108.99946410204045,14032.83839477284,19767.263612728217,92.56858544625375,889923.2797
7.1,12589254.117941663,115559909.18626659,7658.191717091959,12156.411470595547,169.62228786997102,11731.279342074089,16140.20243329853,110.72961116364799,13865.781849594374,19483.61501146247,93.68386248179728,876663.6306
7.2,15848931.924611142,81699349.62383555,7551.741585397164,12046.912583792953,172.0133012114559,11681.075401484723,16055.793740628678,111.20551450553008,13852.158428523713,19396.902511468288,93.77599936520797,863358.442
7.3,19952623.149688788,62434632.1927027,7223.605533291604,11629.871689888609,179.82709521073204,11241.682073474809,15490.65613882729,115.55210256879988,13538.103019076429,18884.044968159324,95.9514045778489,852415.16
7.4,25118864.315095823,48687082.48332785,7207.289468391315,11639.650821361489,180.23419285391074,11313.20929967525,15569.651315900444,114.82152991170138,13618.151475758601,18954.084131237425,95.38739544146824,846490.038
7.5,31622776.60168379,39089973.71209465,6840.236743554137,11177.239303149034,189.90570775552555,10766.67794845718,14888.19309546155,120.65002837631465,13252.651309570369,18388.437534156754,98.01812253687913,834736.0750000001
7.6,39810717.05534969,30989874.962456405,6551.909665584157,10825.039815815866,198.26280676966317,10357.46852222077,14374.203595517009,125.41674611061026,13016.691357407346,17992.812961054366,99.79494514639346,825949.784
7.7,50118723.36272725,25927817.548902906,6062.83217468993,10175.903682482676,214.25630176979695,9606.708070221368,13417.637459752408,135.21801542264072,12424.98425879788,17108.959783086913,104.54741615307917,815807.661
7.8,63095734.448019296,22044379.24965376,5602.431640962343,9551.337311090196,231.86360552841435,8865.14126381851,12474.24946681964,146.5289679366573,11822.877626361775,16230.473651000653,109.87172844482348,806231.797
7.9,79432823.47242822,17065855.388765164,5425.44196251447,9351.454415251219,239.42749898995635,8633.806188367796,12202.824965982092,150.4550799101935,11769.240921697243,16098.988897201478,110.37245380925306,795287.626
8.0,100000000.0,14964361.017094111,4960.162105790889,8709.74291939473,261.8866021502491,7890.7616891482985,11256.018181075977,164.6228908150196,11159.003147637375,15201.642387124723,116.40824747639121,785413.592
8.1,125892541.17941661,12930751.439297087,4452.281648699446,8002.8119340941885,291.76051797609216,7062.066609250129,10207.499499748988,183.94049105944805,10474.23565626866,14207.12986568129,124.01859597483559,776038.606
8.2,158489319.2461111,9895939.02503683,4279.776981394438,7786.869447813256,303.5204884850705,6786.761926308427,9887.439552214122,191.4020285527497,10362.724061452154,14020.174877217443,125.35313999454,763698.658
8.3,199526231.49688828,8791939.296009421,3754.287986547851,7025.228685952672,346.0043567926867,5909.877159514898,8761.19926174592,219.80152293159105,9543.492592369676,12857.045304306384,136.1136908136327,754310.83
8.4,251188643.1509582,6119657.631405047,3738.454998642349,7045.9056860606615,347.4697436432276,5898.671237139239,8800.293587717464,220.21908795683183,9738.53253171985,13098.7141276611,133.38765319815525,740364.618
