time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1804214261.1526606,41437.99960821909,54587.97749554795,31.348038329107652,62318.37334111376,76551.31529496485,20.844574887884647,72450.6758696566,92143.42244574326,17.929439365575888,1000000.0007400077
6.1,1258925.411794166,1852240474.8270986,39941.32783843706,52950.856204897784,32.522704434225716,62782.36555643263,76720.75758859645,20.690523341819276,70406.61196223812,89345.56702737809,18.44997172562011,995417.2207400077
6.2,1584893.1924611141,1793009625.3971145,39303.32552421075,52254.00146549983,33.05063840462608,62844.61064198972,76669.57312707714,20.67003020195452,69467.82786949891,88116.81204850218,18.699303545812306,990899.6007400077
6.3,1995262.3149688789,1647441712.0535474,38533.87850702783,51418.92735491601,33.71059572326953,62700.782137725975,76388.7006898614,20.717444913951304,68337.45030278787,86654.5959401103,19.008610860434846,982912.6007400077
6.4,2511886.4315095823,1404096075.380363,37557.85983195046,50366.06220536116,34.58663528252856,61840.72593609844,75398.28956564516,21.0055748915737,66801.67389070104,84839.10399055299,19.445620511327096,969154.2324577708
6.5,3162277.6601683795,1123843516.0029206,36092.43824606114,48768.63574817397,35.99091840634411,59969.71620803314,73370.05586069594,21.66093291977251,64428.18225272629,82165.0029180882,20.161984314636356,953603.9552000001
6.6,3981071.7055349695,776450140.2271973,35095.542338086205,47639.17204491091,37.01324765083644,59251.11357075767,72488.2877484895,21.923638590331883,62828.896824382915,80217.747456461,20.675199878662813,934682.4534
6.7,5011872.336272725,545959233.9942582,33934.41766247645,46261.17330481347,38.27971980896525,58789.49458302641,71785.20813705129,22.095784446070827,60683.71511761268,77574.91924413948,21.40607241139364,913655.3678
6.8,6309573.44480193,388135950.5828108,31589.45159194248,43457.012987115435,41.12132166078299,56042.38360986523,68505.14991682404,23.178885627757897,57082.60656436803,73071.70439302585,22.756494108852742,894701.0382
6.9,7943282.347242822,284346850.4543247,28783.573000059154,40011.06148266121,45.12990795122379,51407.702773820616,63189.91997978187,25.26858680527378,52723.7600525398,67722.53066840932,24.63784826244434,877204.7931
7.0,10000000.0,191882818.7656799,27547.771887250055,38649.740435687665,47.154448835886306,49781.51432255985,61344.05701983932,26.094023407627088,51187.691944212784,65797.5433724843,25.377194217229466,859986.47
7.1,12589254.117941663,131882727.0205237,26337.572692945407,37342.81699295233,49.32117379017015,47947.54734194037,59302.92867027916,27.09210526945446,49871.51060544022,64131.94768982704,26.046935098418672,844398.879
7.2,15848931.924611142,92415836.80146028,25599.688774702423,36609.00209689346,50.742804392359254,46943.081626673185,58199.17272490444,27.671809241894863,49339.44076915628,63387.92764459985,26.327821713213414,828905.375
7.3,19952623.149688788,70142738.98758791,24018.41749502471,34722.779239731804,54.083496561298475,44182.58562714195,55045.6150906658,29.40072387257497,47614.4699515337,61056.99053088158,27.28162261014854,816312.408
7.4,25118864.315095823,54330303.31976861,23709.053961572983,34520.05183699021,54.789195811245165,43788.308640695126,54676.52453256561,29.665452727552044,47580.09388936365,60998.07692189282,27.30133326387543,809445.0800000001
7.5,31622776.60168379,43363171.48817398,22086.900935855916,32575.67485575286,58.81314014005473,40688.513669821004,51164.77543644695,31.925471904457368,45902.98087023078,58721.92949041057,28.2988157930814,796057.5580000001
7.6,39810717.05534969,34203104.54814327,20758.746931122114,31032.602323884257,62.576031410282354,38217.297491121244,48374.456351518646,33.989844527907486,44757.599868345795,57098.68131785721,29.023003999789992,786146.537
7.7,50118723.36272725,28526076.990190007,18641.41538345072,28341.69880045999,69.68354994938917,34300.621002907275,43823.09105225107,37.87103445998539,42080.874408851814,53533.58338408253,30.8691304125266,774743.524
7.8,63095734.448019296,24142001.995613724,16788.54687952396,25904.24958589755,77.37417712930932,30764.75931000054,39676.64993323989,42.22363604118108,39592.47094437887,50218.8756153142,32.80926825266573,764069.148
7.9,79432823.47242822,18594085.494149193,15923.061862485432,24977.242339349057,81.57978730588434,29225.226659603715,38006.900529508064,44.447901640931676,39086.135941709006,49476.542537005866,33.23429059186766,751915.716
8.0,100000000.0,16222669.03172235,14025.05218900623,22459.027941922897,92.61997620359962,25840.66103498316,34005.02497921365,50.269611843188144,36402.02244582711,45934.22794652567,35.684830477019524,741005.9850000001
8.1,125892541.17941661,13962102.954231918,11983.881471953107,19714.691785247538,108.39559812404352,22175.916202953365,29665.935485295457,58.5770611735537,33385.91499887172,41984.617160582224,38.90862359303017,730716.647
8.2,158489319.2461111,10628247.513293605,11313.319958017868,18912.191014762084,114.82040681430433,20926.18935913773,28278.54552560682,62.075324738126405,32842.522484321875,41222.314324383595,39.55238214787269,717221.429
8.3,199526231.49688828,9405916.057746809,9257.773149573442,16019.668111804705,140.3145204589348,17354.41913804154,23950.35939741611,74.85125198760142,29296.7405571799,36647.1792847149,44.339403472706366,707013.0380000001
8.4,251188643.1509582,6512081.903279348,9201.983351558489,16122.722006264541,141.16521953715505,17213.532404767135,23951.673490180554,75.46388326664743,29965.999241189395,37458.35217776836,43.34913011058465,691945.033
8.5,316227766.01683795,5409217.823136088,7723.0605723957415,14045.629647337939,168.1975672498244,14677.613752278492,20881.59084695607,88.5021245226833,27462.944503276158,34225.54584971675,47.30009922443085,682179.4400000001
8.6,398107170.5534969,4523983.717531893,6948.692423468645,12959.332870129423,186.9416461164309,13371.86375771092,19317.009865100394,97.14427424157147,26099.180109735433,32495.36269385006,49.77167844117261,671711.969
8.7,501187233.6272715,4838414.436810539,5867.4652238755725,11149.665440757972,221.39031940303275,11442.253617460956,16772.87246558366,113.52658693194121,23134.583598667643,28765.78863811002,56.14970308239356,662981.559
8.8,630957344.4801943,4449144.799735737,5404.752948437661,10378.211099164799,240.3440106130103,10606.726353337875,15689.724101265982,122.46945539338932,21785.000996066705,27096.337451643125,59.62818180428521,651802.684
8.9,794328234.7242821,3884445.4937039735,5038.165448326116,9752.855691772258,257.8319456403681,9943.800535521905,14809.793365107262,130.63415696640595,20704.339129526605,25743.756390966897,62.74047154431927,640638.041
9.0,1000000000.0,2813834.9796607173,5055.661369749898,9815.337681556286,256.9396771256183,9966.733889297027,14885.301452496524,130.33356909377872,20813.23546012006,25899.906397204442,62.41220892777555,628289.534
9.1,1258925411.794166,1854244.2985755983,5252.35484154947,10241.067682094495,247.31763926612177,10300.449654284226,15440.154785450204,126.11099938338245,21582.218796486606,26905.387892363673,60.18843624231378,618161.2420000001
9.2,1584893192.4611108,1337140.252609258,5335.266683125054,10432.253632778682,243.4742398367104,10434.531717646285,15680.330163696426,124.49049321525423,21917.310361345695,27352.123995101163,59.26822126363515,605588.877
9.3,1995262314.9688828,1300440.9772544338,4887.8444194632275,9547.563423810305,265.76132309519244,9641.869079057522,14485.25264602728,134.7249158175642,20297.460234928396,25278.807952429575,63.99815469349446,581343.277
9.4,2511886431.509582,988446.8548716427,4901.179686679003,9584.623158597506,265.03823223020646,9657.60013202452,14526.88205008114,134.50546535805796,20353.40540689924,25360.869239246338,63.822243699802435,566196.0920000001
