time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,821675797.9564118,45259.31963485837,59682.1663638673,28.70127104163361,67239.1717322834,82522.88972383388,19.319095796897123,53743.04408532381,68519.72915548574,24.170569831096184,1000000.0007495922
6.1,1258925.411794166,876776427.045368,44781.873951453956,59154.554679096385,29.00727203618563,68024.02994274125,83163.74422444022,19.09619293495878,53491.04845603369,68004.97957178052,24.28443706927332,1000000.0007495922
6.2,1584893.1924611141,904479697.4037353,44287.08778428626,58612.90050779253,29.331348367884896,68275.29868381978,83305.19536475028,19.025914570006023,53102.136586907276,67421.99560320872,24.46229254587617,1000000.0007495922
6.3,1995262.3149688789,942258143.0198311,43183.19716332809,57409.71674392132,30.081144642600314,68234.44355642557,83062.32550169596,19.037306267850035,52090.42191303607,66065.76366537999,24.937406000831682,1000000.0007495922
6.4,2511886.4315095823,967700345.8221503,40990.88763588383,55036.45944843673,31.689970013307114,67027.79152703572,81526.28797935882,19.380020889932606,49919.763183031006,63371.328555261185,26.021758060774676,1000000.0025285622
6.5,3162277.6601683795,887491330.1970466,39588.25593881626,53515.791693407264,32.81276149188303,64776.48146083289,79121.86688975185,20.0535745490505,48456.76732446882,61737.062550180126,26.807401147951825,998091.2006099999
6.6,3981071.7055349695,653251395.9194417,38624.44708514679,52425.34045765599,33.63154939503422,63827.760226918675,78036.04888352189,20.35164629593505,47335.24600496566,60421.335931158326,27.442553057899595,986717.4225
6.7,5011872.336272725,471325548.21979743,37336.34646691905,50904.75110139576,34.79183484519426,63202.17751684703,77157.3606265072,20.553089324394584,45721.59776331231,58445.6803497853,28.411080617185622,970397.581
6.8,6309573.44480193,340355454.1833306,34802.82293935749,47882.52103713077,37.32455847801355,60300.13817583881,73699.27861797337,21.54223919374842,43061.23657794138,55123.41089996754,30.16634224260591,954638.5821
6.9,7943282.347242822,252399269.88185245,31753.051804620183,44140.78480446671,40.9094536170218,55362.87255593216,68043.07207930167,23.4633778926056,39822.30146519289,51151.22544587714,32.6199127676085,939800.7424
7.0,10000000.0,172504942.78658935,30377.22132488001,42624.905764940275,42.76230488981799,53584.81913759494,66025.82996813055,24.241940551566135,38655.772615911614,49688.387927851945,33.60429535083982,924838.6497
7.1,12589254.117941663,119678335.4949662,29026.645696756517,41161.20814172224,44.75198455828302,51576.49743527616,63788.58573685823,25.185890174689114,37645.31749603884,48408.66897283008,34.506283554035235,911184.8259
7.2,15848931.924611142,84807608.11119385,28148.80873352763,40266.647764355985,46.14760121101609,50379.271068261834,62463.73224666422,25.784414352480578,37179.73885144459,47763.05729882498,34.938384187965546,897476.39
7.3,19952623.149688788,64899090.52742231,26453.677595055262,38251.410098562206,49.10470369695629,47495.746588940434,59172.87852247566,27.3498174740236,35927.20357660412,46068.158029457125,36.15644610998646,886079.094
7.4,25118864.315095823,50680836.77614264,26062.217330935444,37959.153988944825,49.84226719873552,46976.35799854223,58663.38709163451,27.652207521926467,35848.769431584435,45955.25865855457,36.23555342615249,880020.742
7.5,31622776.60168379,40690984.184043095,24274.694102204183,35815.69900257929,53.51251779037037,43643.796622318245,54887.61578164429,29.763680076717407,34581.311668139686,44235.57682269752,37.56364167056131,867786.7119999999
7.6,39810717.05534969,32259939.479127053,22808.47313081582,34111.05388984648,56.952519028771,40980.62724342138,51880.54869348568,31.697904287410054,33712.454514041725,43005.42493389659,38.53175387923616,858640.3990000001
7.7,50118723.36272725,26989657.666256446,20505.688015902084,31188.106243781178,63.34827678020998,36823.644359532234,47052.38134123884,35.27624770967946,31727.333297118348,40360.385783598045,40.94261524708672,848083.671
7.8,63095734.448019296,22947384.35427213,18462.573915707828,28501.869857899037,70.35855379269843,33022.88472541401,42596.25588975716,39.33635752300904,29849.86452139853,37859.88966233308,43.51778545154814,838114.674
7.9,79432823.47242822,17765593.770410817,17514.034698829284,27486.820191668445,74.16908909554867,31374.866750912664,40809.57836660509,41.40256627423647,29473.41754388223,37306.80916958802,44.07361304694142,826722.9339999999
8.0,100000000.0,15577570.871893382,15425.344686766142,24712.84535437725,84.21205661060205,27735.62582812874,36505.944207383574,46.8350708236981,27445.598891144266,34631.38788126953,47.32999287616718,816443.608
8.1,125892541.17941661,13460562.302502157,13193.319783229721,21713.15357027909,98.45891870605482,23825.265162728363,31877.191776696738,54.521953528228615,25190.233100045458,31677.749250018118,51.56760538264554,806684.37
8.2,158489319.2461111,10301558.06575658,12440.255905494916,20808.507525854304,104.41907384125642,22456.819689786003,30355.421768635068,57.844343853854866,24762.54931205915,31079.896048877134,52.45824990108745,793839.3150000001
8.3,199526231.49688828,9152274.760777587,10182.231983934016,17629.696261998288,127.5751723246554,18627.621042885963,25714.605745830424,69.7351528147014,22092.334991140608,27634.701953793217,58.79867386226582,784066.784
8.4,251188643.1509582,6370450.309564812,10116.063619870407,17735.753782282023,128.40963133609088,18468.38299495103,25706.218013835813,70.33642308344626,22589.607193649208,28237.1365167096,57.50431996733427,769548.753
