time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1804214261.1526606,45581.799569040995,60046.77524510275,28.49821666282514,66888.38738612879,82165.07841659563,19.42041138622793,54579.50915514129,69414.71157579325,23.800140750764456,1000000.0007400077
6.1,1258925.411794166,1852240474.8270986,43935.46062228076,58245.94182538756,29.566094940205197,67386.40569723771,82346.9464784269,19.276885101073855,53039.647678219386,67306.99382729149,24.49111291011519,995417.2207400077
6.2,1584893.1924611141,1793009625.3971145,43233.65807663182,57479.40161204981,30.046034913296435,67453.21542240231,82292.00848972949,19.257792113622223,52332.43032835585,66381.33174320497,24.822084352848194,990899.6007400077
6.3,1995262.3149688789,1647441712.0535474,42387.266357730616,56560.820090407615,30.645996112063205,67298.83949449257,81990.53874045126,19.30196731113475,51480.8792281002,65279.795608216424,25.232669283763062,982912.6007400077
6.4,2511886.4315095823,1404096075.380363,41313.64581514551,55402.66842589727,31.442395711389597,66375.71250474568,80927.49746712582,19.570411389664933,50323.92766432812,63912.12500621658,25.81277059025721,969154.2324577708
6.5,3162277.6601683795,1123843516.0029206,39701.68207066725,53645.49932299137,32.7190167330401,64367.49539662226,78750.52662381365,20.18099340351475,48535.89729705381,61897.63553162643,26.763695992880116,953603.9552000001
6.6,3981071.7055349695,776450140.2271973,38605.09657189483,52403.08924940201,33.64840695530585,63596.19523261324,77804.09551671207,20.42575023943964,47331.10227436845,60430.70308386727,27.44495559114533,934682.4534
6.7,5011872.336272725,545959233.9942582,37327.8594287241,50887.29063529481,34.799745280877495,63100.7241857817,77049.45673376841,20.586134577084614,45715.06538860155,58439.772497251746,28.415140369106606,913655.3678
6.8,6309573.44480193,388135950.5828108,34748.39675113673,47802.71428582698,37.383019691620895,60152.15840792203,73528.86091072448,21.595235056917293,43002.23027849058,55047.35064274614,30.207735542724883,894701.0382
6.9,7943282.347242822,284346850.4543247,31661.930300065065,44012.16763092733,41.02718904656709,55177.60097723414,67823.8474449659,23.542161619820284,39718.565906246644,51017.639770201684,32.70510831297921,877204.7931
7.0,10000000.0,191882818.7656799,30302.54907597506,42514.714479256436,42.86768075989665,53432.15870621425,65842.62120129421,24.31120193257182,38561.39459797362,49567.48267393817,33.68654099632231,859986.47
