time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
6.0,1000000.0,1434444049.1652508,45523.51318873678,59981.94552974973,28.53470457375404,66899.15871960502,82168.64218620308,19.417284534840103,54496.715339536844,69316.38251160164,23.836298975207924,1000000.0007200831
6.1,1258925.411794166,1475206489.5686917,43930.593346291294,58239.33699591258,29.569370706204314,67407.6139498454,82369.3040520403,19.27082007333059,53013.09073034623,67279.51098038908,24.50338175163997,999063.8307200831
6.2,1584893.1924611141,1432733470.9646986,43231.706897328455,57475.95300435301,30.047390982849972,67476.64257632461,82316.63335795616,19.251106018362826,52311.250607586015,66359.47265084856,24.832134290661042,995590.6407200831
6.3,1995262.3149688789,1324465620.4579816,42378.80902768477,56550.01550518106,30.65211198246282,67327.23366044581,82019.20240558074,19.29382702030058,51453.960751488965,65250.268758230326,25.245869919982976,989451.6607200832
6.4,2511886.4315095823,1139349383.4029644,41293.977262128006,55379.247255792136,31.457371900849893,66422.6297723277,80971.4538258933,19.556587934751956,50290.71106448246,63870.22825847785,25.829819712320827,978838.9424290252
6.5,3162277.6601683795,922443114.9891881,39690.37357606372,53631.20683186308,32.72833896386893,64444.04224615703,78822.67927981164,20.157022351860043,48519.14961042143,61869.433985506934,26.772934200829187,966652.4866
6.6,3981071.7055349695,647001255.7674546,38586.7817396243,52382.31970500454,33.664377837089035,63660.90131675632,77864.54803042582,20.404989139826828,47305.69374733206,60393.99840535582,27.459696647473027,951659.2431
6.7,5011872.336272725,460662481.7840297,37301.17523450433,50859.46002307803,34.82464002363119,63122.386939680844,77067.48584584439,20.579069692679905,45687.51191034041,58403.146589785145,28.432277129672247,934670.0541000001
6.8,6309573.44480193,330862499.9765223,34742.040602970075,47802.66746500731,37.38985901389308,60190.38844522394,73570.32457552977,21.581518803158254,43000.55318296308,55044.39713000364,30.208913696363023,919045.478
6.9,7943282.347242822,244533861.29090843,31684.190549986495,44050.83646415809,40.99836471916919,55255.52464751571,67913.98136721602,23.508961471030084,39753.49767176212,51060.43930130766,32.67637003228301,904473.525
7.0,10000000.0,166653100.23657706,30322.973184079125,42552.31999145429,42.838807135245936,53498.024240405066,65920.83025520064,24.281270541182224,38599.39729330112,49613.87936330273,33.653375210224844,889923.2797
7.1,12589254.117941663,115559909.18626659,28983.965029538067,41104.61382249891,44.81788460192269,51508.41033843418,63706.4906022387,25.219182488160023,37602.39449403418,48351.730214596566,34.54567235621373,876663.6306
7.2,15848931.924611142,81699349.62383555,28144.877650396178,40261.512342992115,46.154046790880784,50376.19808327819,62459.25905071436,25.78598722064316,37176.28612654168,47758.030643842685,34.941629069090645,863358.442
7.3,19952623.149688788,62434632.1927027,26422.551448662896,38209.503542039354,49.162549745578616,47440.152391498916,59106.975199924535,27.38186819637568,35894.58183209258,46025.65603050022,36.18930584221465,852415.16
