ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Sigma_star,LBol,L_Edd,Mass_old,Mass_new,Mass_g,Momentum
1,202.5333,47.22,2.0723e+37,1.0825e+36,1.3358e+36,1.1488e+35,0.1209,0.1381,0.052421,0.015025,0.0065666,0.025442,87.10613087305876,921.4008676411847,1.0517518679970543,368.11315379896894,2.862292817679558e+39,461342.6009633518,77097.43864430736,521.5374296283085,4734.546435452039,0.345441472602885
2,202.5333,47.2205,1.9726000000000002e+37,1.0317000000000001e+36,1.9419000000000002e+36,2.1371e+35,0.7899,0.1857,0.040538,0.011036,0.0053178,0.021216,87.11402641348127,926.8008413567636,1.3846352036274947,484.62232126962317,2.7245856353591164e+39,282321.03206824814,101499.06161775203,496.44584938705856,30933.153261898813,0.9111528802682424
3,202.5333,47.2211,1.6210000000000002e+37,8.5108e+35,1.5476e+36,2.752e+35,0.7414,0.3206,0.028617,0.007864399999999999,0.0056341,0.018040999999999998,87.12350106206446,933.2808098848112,1.1284776882541558,394.96719088895446,2.2389502762430943e+39,244366.44659131308,82721.73502038246,407.9583908833124,29033.85216909961,0.8882311746273779
4,202.5325,47.2116,1.5544000000000002e+37,8.1388e+35,1.733e+36,1.4290000000000002e+35,0.9865,0.1034,0.06332,0.01379,0.0078119,0.033181999999999996,92.84254691841706,830.6727631591646,0.9116391919560448,319.07371718461565,2.1469613259668518e+39,209544.6337924069,66826.64305738505,391.1971146138315,38632.17583600858,0.9775303288023708
5,202.5325,47.2122,1.2588000000000002e+37,6.6195e+35,1.4802000000000005e+36,1.2302e+35,1.0707,0.1215,0.050407,0.0099703,0.0065514,0.024992,92.85195519184015,837.1527307589515,0.8122033753719969,284.27118138019887,1.7386740331491717e+39,197839.17492996427,59537.61700342162,316.80322174208123,41929.519176497095,0.9955952584081976
6,202.5325,47.2127,1.4428e+37,7.5649e+35,1.4014e+36,1.3301e+35,0.7687,0.1345,0.05612,0.010537999999999999,0.008475299999999998,0.027624,92.85979541973863,842.5527038015082,0.7476377127238737,261.67319945335583,1.992817679558012e+39,182837.31043602177,54804.70673626664,363.1106516757824,30102.94329968555,0.9025082265813492
7,202.5325,47.22,2.5569000000000003e+37,1.3325e+36,2.2734e+36,1.7022e+35,0.629,0.087,0.053589,0.013938999999999998,0.0062082,0.02785,92.97426275499048,921.3923151794424,1.5113772570656423,528.9820399729748,3.531629834254144e+39,313812.51376388513,110789.739377336,643.4971065080452,24632.172935478353,0.8390606055728668
8,202.5325,47.2205,2.353e+37,1.2274e+36,3.7515000000000003e+36,3.4611e+35,1.5516,0.1124,0.038653,0.009558,0.0049543,0.022638,92.98210298393002,926.7922889365833,1.7921635904698126,627.2572566644344,3.25e+39,338993.99443894223,131372.4526298583,592.1814273586883,60761.97063066487,1.1001845002111224
9,202.5325,47.2211,1.219e+37,6.4402e+35,2.4065000000000003e+36,2.2078e+35,1.8891,0.1122,0.017813,0.0046321,0.0039533,0.012976,92.99151125882601,933.2722575144293,1.2480014385861429,436.80050350515,1.6837016574585638e+39,280044.5207314835,91483.2835264068,306.7867233107698,73978.7565857109,1.1454908916904558
10,202.5317,47.2116,1.8666e+37,9.7473e+35,1.7931e+36,2.1323e+35,0.7512,0.155,0.07292699999999999,0.014113999999999996,0.0094863,0.038676999999999996,98.71160803581222,830.6642701380375,0.9704272993609656,339.64955477633794,2.5781767955801104e+39,219783.91508082594,71136.03640535915,469.76874301220903,29417.62847238687,0.8894920609333116
11,202.5317,47.2127,1.5221e+37,7.9728e+35,1.2202000000000001e+36,1.1325e+35,0.4654,0.1398,0.058717999999999985,0.009565700000000002,0.008065300000000001,0.028641000000000007,98.72873485191805,842.5442108716005,0.8856575849959126,309.98015474856936,2.1023480662983426e+39,216736.5378629528,64922.09179444885,383.06814729394796,18225.458321417533,0.745812091960027
12,202.5317,47.2133,1.5877000000000004e+37,8.3114e+35,1.5072e+36,1.8511e+35,0.7324,0.1635,0.065384,0.010549,0.0096164,0.031715,98.73807675183008,849.0241786250357,0.7739996253740565,270.89986888091977,2.1929558011049732e+39,186958.14027762273,56737.13586231572,399.577752748572,28681.404543631714,0.8882811860349699
13,202.5317,47.2205,1.5763e+37,8.2643e+35,2.5348e+36,1.6564e+35,1.5651,0.0708,0.025236,0.005882,0.0042607,0.016956,98.85017955735657,926.7837966536536,1.2900261186255244,451.50914151893346,2.177209944751381e+39,275780.2508198216,94563.85346830104,396.7087054592012,61290.64206886673,1.0964177735297205
14,202.5317,47.2222,2.4547e+37,1.2817e+36,1.8824e+36,1.6162e+35,0.3954,0.1607,0.018655,0.0065816,0.007676899999999999,0.02139,98.87664827754669,945.1437079671105,0.807344963645837,282.57073727604296,3.390469613259669e+39,210635.97034410495,59181.47682305787,617.7763492296526,15484.199012222796,0.6916443669692635
15,202.5317,47.2227,3.7293e+37,1.9408000000000002e+36,5.4867e+36,2.9448e+35,1.4246,0.043,0.025749,0.0093669,0.0080417,0.030243,98.88443319535965,950.5436820032968,1.0958625975203322,383.5519091321163,5.150966850828729e+39,246171.20693318907,80330.92399998644,938.5559698464753,55788.54302684017,1.0774151157144376
16,202.5308,47.1916,1.238e+37,6.5098e+35,8.8101e+35,2.3271e+35,0.2773,0.5057,0.067012,0.017905,0.021217,0.045251,105.0053941868258,614.655886398153,0.7115289708353133,249.0351397923596,1.7099447513812156e+39,212314.2245915051,52157.797710492276,311.56846879305414,10859.302949138548,0.5772143580466443
17,202.5308,47.1933,2.1579e+37,1.1248000000000001e+36,2.1877000000000002e+36,3.0016e+35,0.8364,0.2581,0.06,0.015880000000000002,0.009692399999999999,0.035693,105.03165133215134,633.015791924259,1.0985671816434055,384.4985135751919,2.980524861878453e+39,236822.03618663555,80529.18037093454,543.0804513800738,32754.132660149593,0.9301151557227436
18,202.5308,47.1939,1.5023e+37,7.8677e+35,3.3236000000000005e+36,4.67e+35,2.0691,0.2174,0.041996,0.0087973,0.0058854,0.023016,105.04091856002134,639.4957586006033,1.4416868776754943,504.590407186423,2.075e+39,310182.88661009737,105681.16775258326,378.08506515977797,81027.70909506879,1.1671899661592484
19,202.5308,47.2077,1.7143000000000004e+37,8.962e+35,1.8463e+36,1.5638e+35,0.9318,0.1441,0.07032100000000001,0.013175999999999998,0.011216,0.031504000000000004,105.25406480829878,788.5349985591795,0.7659195839313716,268.07185437598014,2.367817679558011e+39,187350.3871055737,56144.83788945147,431.439277909477,36490.07749010927,0.9612889820519052
20,202.5308,47.2083,1.4044e+37,7.3652e+35,1.9477e+36,1.3915e+35,1.3313,0.0949,0.063902,0.010966,0.010237000000000001,0.028829,105.26333203722663,795.0149659343091,0.6860776288135734,240.12717008475067,1.939779005524861e+39,188998.13484345374,50292.11689770396,353.4464923852707,52134.835976156326,1.0523704351792682
21,202.5308,47.2089,1.0003000000000001e+37,5.2934e+35,1.5969e+36,1.3683e+35,1.5535,0.1282,0.055264,0.0090006,0.009375,0.025648,105.27259926593314,801.4949333563758,0.6492672464047384,227.24353624165852,1.3816298342541438e+39,192330.56132358624,47593.77493550402,251.7463161015283,60836.376240485886,1.0935150617477554
22,202.5309,47.2205,1.2233e+37,6.449e+35,1.6131e+36,1.5778e+35,1.2518,0.1298,0.021200999999999998,0.0049005,0.0049867,0.017003,104.7182561341736,926.7753645080948,1.1180064141410837,391.30224494937937,1.6896408839779003e+39,243146.24287726844,81954.15053774428,307.86890781465513,49021.54861785661,1.0448613496737005
23,202.5309,47.2222,3.3933000000000003e+37,1.7665000000000002e+36,3.207700000000001e+36,2.1773e+35,0.7259,0.1033,0.023441999999999998,0.0072712,0.0070015,0.027044,104.74453679536758,945.1352759623143,1.3834888381511539,484.22109335290384,4.6868784530386745e+39,286231.62325208983,101415.02863938,853.9945760544995,28426.859036349346,0.8836090339329687
24,202.5309,47.2227,6.1358e+37,3.1863000000000004e+36,1.1859e+37,1.2754000000000001e+36,1.8557,0.1359,0.038072,0.01081,0.0080376,0.043422,104.752266401756,950.5352500398924,2.6608587996137607,931.3005798648164,8.474861878453038e+39,457476.85903214145,195051.13733248145,1544.201785800017,72670.78428675227,1.139012377167192
25,202.5309,47.2233,2.345e+37,1.2250000000000001e+36,6.3379e+36,3.7271e+35,2.3853,0.0447,0.016888999999999998,0.00403,0.0050729,0.019247999999999998,104.76154192953652,957.0152190074066,1.2359340707155608,432.5769247504463,3.2389502762430944e+39,298798.5599016959,90598.69926056445,590.1680608398318,93410.36900317413,1.1955486576871437
26,202.53,47.1933,2.9881e+37,1.5539e+36,2.3308e+36,5.375e+35,0.4223,0.498,0.07357999999999999,0.016656999999999998,0.010837000000000001,0.041158999999999994,110.90273685576454,633.0074251872513,1.4023783094803226,490.83240831811287,4.127209944751381e+39,325008.86019662797,102799.69920773128,752.0175618744142,16537.62580389906,0.7150314147047203
27,202.53,47.1939,1.9464e+37,1.0157e+36,2.8290000000000004e+36,4.6559e+35,1.4054,0.2921,0.048473,0.008688799999999998,0.0069821,0.025725,110.9119377097348,639.4873919131658,1.2905177351971473,451.6812073190016,2.6883977900552487e+39,270980.8773425659,94599.89084519623,489.8520740378032,55036.65475917533,1.0720974803373529
28,202.53,47.2072,1.3884e+37,7.2825e+35,1.6926e+36,1.3388e+35,1.1277,0.1289,0.057254,0.011120999999999999,0.007397499999999999,0.024611,111.11588998333336,783.1266601916631,0.8678719183613345,303.75517142646714,1.917679558011049e+39,205880.0240075583,63618.33433621982,349.41975934755754,44161.68747112709,1.0163554165032822
29,202.53,47.2077,2.2847e+37,1.1904e+36,3.0114e+36,2.3027e+35,1.251,0.087,0.08494,0.014725,0.009436700000000001,0.035372,111.12355736264506,788.526633010835,1.057613989915448,370.1648964704068,3.155662983425414e+39,235901.65716864986,77527.15462455041,574.9923107039504,48990.21994003723,1.0425678592293424
