ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Dist_to_center,H_old,L_Bol,F_Bol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Sigma_new,Mass_old,Mass_g,Mass_tot,E_dot_Wind,L_Edd,F_Edd,tau_RP,v_inf,R_UV,velocity_no_aging,distance_no_aging,time_no_aging,velocity_aging,distance_aging,time_aging
1,202.5333,47.22,2.0722999999999998e+37,1.0825e+36,1.3358e+36,1.1488e+35,0.1209,0.1381,0.052421,0.015025,0.0065666,0.025442,87.10613087305876,921.4008676411848,1.0517518679970543,7315.020674588557,3.092349835860313e+21,1.2713677941611173e+39,0.0259924761867862,0.07684136309030576,0.0005039242621199056,0.36585492848760653,0.07811552595863622,4.605311462608816e+35,9.415328048605852e-06,1.5295117564949937e+36,6.030689602150402e+36,8.020732504906277e+36,1202017.5652342336,2.7770850755338323e+38,0.022162289306795386,0.2551380453552655,352286.036173202,1.4780748972726948e+19,2.852051726451722,66.82362204097896,31236283.732484546,1.0929769368142688,21.24150153817428,17914797.059302725
2,202.5333,47.2205,1.9726e+37,1.0317000000000001e+36,1.9419000000000002e+36,2.1371e+35,0.7899,0.1857,0.040538,0.011036,0.0053178,0.021216,87.11402641348127,926.8008413567638,1.3846352036274947,7300.079828665488,3.086033746748178e+21,1.2102012791401923e+39,0.024741957499423088,0.10116192688856124,0.0032923885413441976,0.9611195239178204,0.5103676919332237,4.383746267983473e+35,8.962349133175653e-06,2.0177288371314677e+36,3.9401503033404494e+37,4.185760649733431e+37,1144187.5448443994,3.6042756858631496e+39,0.18569018761725214,1.6669441027801841,0.0,3.7780643235753165e+19,0.0,0.0,0.0,0.0,0.0,0.0
3,202.5333,47.2211,1.621e+37,8.5108e+35,1.5476e+36,2.752e+35,0.7414,0.3206,0.028617,0.0078644,0.0056341,0.018041,87.12350106206446,933.2808098848112,1.1284776882541558,7283.070446464623,3.078843205176689e+21,9.94492686548845e+38,0.02033190363305527,0.08244696057818386,0.003090235301370538,0.9446095294475634,0.47903102519216617,3.602378941701921e+35,7.3648828677267214e-06,1.6482893645976285e+36,3.6982243763724637e+37,3.899077102249246e+37,940245.3666190669,3.2063653302676644e+39,0.16134245645620734,1.5645934394242669,0.0,3.6602401592235516e+19,0.0,0.0,0.0,0.0,0.0,0.0
4,202.5325,47.2116,1.5544e+37,8.138799999999999e+35,1.733e+36,1.4290000000000002e+35,0.9865,0.1034,0.06332,0.01379,0.0078119,0.033182,92.84254691841704,830.6727631591646,0.9116391919560448,7557.11154554121,3.194691264320572e+21,9.536332091126e+38,0.01949655213277058,0.0666047860161771,0.00411183858214464,1.0213965881862583,0.6373942626815107,3.4543725027646305e+35,7.062291134851583e-06,1.2832844209711884e+36,4.920823236163253e+37,5.083695403288018e+37,901614.6809825279,5.144349348966526e+39,0.24095536784467342,2.0818335958889125,0.0,4.222132279365662e+19,0.0,0.0,0.0,0.0,0.0,0.0
5,202.5325,47.2122,1.2588e+37,6.6194999999999994e+35,1.4802000000000002e+36,1.2302e+35,1.0707,0.1215,0.050407,0.0099703,0.0065514,0.024992,92.85195519184016,837.1527307589515,0.8122033753719969,7525.662646390753,3.181396565309845e+21,7.722809338850623e+38,0.015788895924299797,0.05933994712655582,0.004462793279171075,1.0416839236668658,0.6917973006113465,2.7974550350489687e+35,5.7192563565048716e-06,1.1480894495097135e+36,5.340826598033445e+37,5.483610093334905e+37,730154.760950081,5.905372795122099e+39,0.27160392085048946,2.259522788766607,0.0,4.398627571756402e+19,0.0,0.0,0.0,0.0,0.0,0.0
6,202.5325,47.2127,1.4427999999999998e+37,7.5649e+35,1.4014e+36,1.3301e+35,0.7687,0.1345,0.05612,0.010538,0.0084753,0.027624,92.85979541973865,842.552703801508,0.7476377127238737,7500.131402255805,3.170603494159098e+21,8.851659766518651e+38,0.01809677394310434,0.05462274175533757,0.0032040246508814848,0.9515302285043624,0.4966700149247615,3.206361713194035e+35,6.555245528412161e-06,1.060420073955306e+36,3.834401238356505e+37,3.972506862883976e+37,836882.1807267055,3.362406735144816e+39,0.15837487884013599,1.6222052561173916,0.0,3.727020069415538e+19,0.0,0.0,0.0,0.0,0.0,0.0
7,202.5325,47.22,2.5569e+37,1.3325e+36,2.2734e+36,1.7022e+35,0.629,0.087,0.053589,0.013939,0.0062082,0.02785,92.97426275499048,921.3923151794424,1.5113772570656423,7201.211709701969,3.0442382652246956e+21,1.5686726404915123e+39,0.03207072449065948,0.11042166883066201,0.0026217399575965317,0.8919868421983537,0.4064074923737153,5.682247202984356e+35,1.1617069095922549e-05,2.2326571877631323e+36,3.1375548054198533e+37,3.4176429962260104e+37,1483105.1066676695,2.525039276307173e+39,0.13863018514561726,1.3273931391932343,0.0,3.371387044282829e+19,0.0,0.0,0.0,0.0,0.0,0.0
8,202.5325,47.2205,2.3529999999999996e+37,1.2274e+36,3.7515000000000003e+36,3.4611e+35,1.5516,0.1124,0.038653,0.009558,0.0049543,0.022638,92.98210298393002,926.7922889365832,1.7921635904698126,7186.0342417204965,3.0378221465684185e+21,1.4435788349472128e+39,0.02951324444699509,0.13093598706340537,0.006467236435940825,1.11797285268487,1.0025148889778326,5.229116378670339e+35,1.0690665877705721e-05,2.6530355008332565e+36,7.739634397598482e+37,8.05722911146851e+37,1364834.8844260732,1.171575800045559e+40,0.567671918776417,3.274377098207031,0.0,5.2950879290021814e+19,0.0,0.0,0.0,0.0,0.0,0.0
9,202.5325,47.2211,1.2189999999999999e+37,6.4402e+35,2.4065000000000003e+36,2.2078e+35,1.8891,0.1122,0.017813,0.0046321,0.0039533,0.012976,92.991511258826,933.2722575144294,1.2480014385861429,7168.754267406376,3.0305172149611067e+21,7.47863408330069e+38,0.015289691874580116,0.09117933247745612,0.007873972899675051,1.1504635783310702,1.2205793224851917,2.709006742711068e+35,5.538428263885794e-06,1.8519362464120436e+36,9.423139559489102e+37,9.635423251557417e+37,707069.1560201374,1.6576512433719435e+40,0.7576516414101245,3.9866110957868663,0.0,5.842662025445643e+19,0.0,0.0,0.0,0.0,0.0,0.0
10,202.5317,47.2116,1.8666e+37,9.7473e+35,1.7931e+36,2.1323e+35,0.7512,0.155,0.072927,0.014114,0.0094863,0.038677,98.71160803581222,830.6642701380376,0.9704272993609656,7448.823937503152,3.148913790566401e+21,1.1451696784158383e+39,0.023412419075546555,0.07089982421874816,0.0031310827601693392,0.9453837007305521,0.48536297022437985,4.148180464269467e+35,8.480746675446452e-06,1.3858963991055576e+36,3.747108378110324e+37,3.9271798226635744e+37,1082703.270407866,3.2694752240523926e+39,0.15961153142267578,1.5852746043910295,0.0,3.6843517014857196e+19,0.0,0.0,0.0,0.0,0.0,0.0
11,202.5317,47.2127,1.5220999999999998e+37,7.972799999999999e+35,1.2202000000000001e+36,1.1325e+35,0.4654,0.1398,0.058718,0.0095657,0.0080653,0.028641,98.72873485191803,842.5442108716005,0.8856575849959126,7391.00901036329,3.124473124107002e+21,9.338169760616884e+38,0.019091419197947827,0.0647064890442527,0.0019398374821389917,0.797313215097823,0.30070277734614803,3.382591602198948e+35,6.915538687826554e-06,1.2747276943209042e+36,2.321491266204133e+37,2.4827899516582134e+37,882879.3784891315,1.5184201680068943e+39,0.07907248122927589,0.9821443036256459,0.0,2.8999898663101993e+19,0.0,0.0,0.0,0.0,0.0,0.0
12,202.5317,47.2133,1.5877e+37,8.3114e+35,1.5072e+36,1.8511e+35,0.7324,0.1635,0.065384,0.010549,0.0096164,0.031715,98.73807675183008,849.0241786250358,0.7739996253740565,7360.750336518332,3.111681580615832e+21,9.740629478307225e+38,0.019914227882912926,0.05654870354561834,0.0030527223290042925,0.9419685112541465,0.47321597363197,3.528375722233276e+35,7.213587001289153e-06,1.1185975977436092e+36,3.653330905388714e+37,3.8004744223854075e+37,920930.0238007976,3.095999927722891e+39,0.14747974248923176,1.5456005328221383,0.0,3.6379561386471277e+19,0.0,0.0,0.0,0.0,0.0,0.0
13,202.5317,47.2205,1.5763e+37,8.2643e+35,2.5348e+36,1.6563999999999999e+35,1.5651,0.0708,0.025236,0.005882,0.0042607,0.016956,98.85017955735655,926.7837966536536,1.2900261186255244,7072.066972487405,2.9896436543967304e+21,9.670689832245184e+38,0.0197712397882696,0.0942496000339717,0.006523505894490193,1.1193187976506895,1.0112374663181267,3.5030412867395056e+35,7.161792019986201e-06,1.9404679242546463e+36,7.806974604074105e+37,8.036051809366965e+37,914317.5640972458,1.1772591255076647e+40,0.5496238444326145,3.3028664581102234,0.0,5.318073514965114e+19,0.0,0.0,0.0,0.0,0.0,0.0
14,202.5317,47.2222,2.4546999999999997e+37,1.2817e+36,1.8824e+36,1.6162e+35,0.3954,0.1607,0.018655,0.0065816,0.0076769,0.02139,98.87664827754668,945.1437079671103,0.807344963645837,7025.02264348303,2.9697561476422786e+21,1.50597236130256e+39,0.03078884876499739,0.05898478455345222,0.001648069919290411,0.7405323362296695,0.2554745985446217,5.455126211101607e+35,1.1152731631961e-05,1.2225470618555442e+36,1.972319825219412e+37,2.149125793515982e+37,1423824.9854656532,1.202285256987621e+39,0.06355567586254278,0.8344216967201985,153216.16573831002,2.6730163999421944e+19,1.8225344605894829,55.55305412344438,40739119.42430056,0.10033443529918974,10.164312569744553,3454743.6055855467
15,202.5317,47.2227,3.7292999999999997e+37,1.9408000000000002e+36,5.4867e+36,2.9447999999999998e+35,1.4246,0.043,0.025749,0.0093669,0.0080417,0.030243,98.88443319535963,950.5436820032968,1.0958625975203322,7012.787922488894,2.9645840450411954e+21,2.2879466847295542e+39,0.046775921171346706,0.08006393305426117,0.005937886714772685,1.1038848144739273,0.9204580502950634,8.28769388481738e+35,1.6943774015183998e-05,1.6623387643837067e+36,7.106137640383345e+37,7.355248455669889e+37,2163144.383548727,9.944843416139303e+39,0.4589116670042748,3.006366082821434,0.0,5.073758137173075e+19,0.0,0.0,0.0,0.0,0.0,0.0
