,ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Dist_to_center,H_old,L_Bol,F_Bol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Sigma_new,Mass_old,Mass_g,Mass_tot,E_dot_Wind,L_Edd,F_Edd,tau_RP,v_inf,R_UV,velocity_no_aging,distance_no_aging,time_no_aging,velocity_aging,distance_aging,time_aging
0,1,202.5333,47.22,2.0722999999999998e+37,1.0825e+36,1.3358e+36,1.1488e+35,0.1209,0.1381,0.052421,0.015025,0.0065666,0.025442,87.10613087305876,921.4008676411848,1.0517518679970543,7315.020674588557,3.092349835860313e+21,1.2713677941611173e+39,0.0259924761867862,0.07683562396511054,0.0005039242621199056,0.36585492848760653,0.07811552595863622,4.605311462608816e+35,9.415328048605852e-06,1.223518016297047e+37,2.412275840860161e+37,3.681846971783296e+37,1202017.5652342336,1.2748056889009063e+39,0.03543595683055832,0.2551380453552655,0.0,2.9561497945453896e+19,0.0,0.0,0.0,0.0,0.0,0.0
1,2,202.5333,47.2205,1.9726e+37,1.0317000000000001e+36,1.9419000000000002e+36,2.1371e+35,0.7899,0.1857,0.040538,0.011036,0.0053178,0.021216,87.11402641348127,926.8008413567638,1.3846352036274947,7300.079828665488,3.086033746748178e+21,1.2102012791401923e+39,0.024741957499423088,0.10115434035251997,0.0032923885413441976,0.9611195239178204,0.5103676919332237,4.383746267983473e+35,8.962349133175653e-06,1.6140620156840405e+37,1.5760601213361798e+38,1.7418500691725673e+38,1144187.5448443994,1.499898670987832e+40,0.22924142511532006,1.6669441027801841,0.0,7.556128647150633e+19,0.0,0.0,0.0,0.0,0.0,0.0
2,3,202.5333,47.2211,1.621e+37,8.5108e+35,1.5476e+36,2.752e+35,0.7414,0.3206,0.028617,0.0078644,0.0056341,0.018041,87.12350106206446,933.2808098848112,1.1284776882541558,7283.070446464623,3.078843205176689e+21,9.94492686548845e+38,0.02033190363305527,0.08244074863949098,0.003090235301370538,0.9446095294475634,0.47903102519216617,3.602378941701921e+35,7.3648828677267214e-06,1.318532139829019e+37,1.4792897505489855e+38,1.6147453434735893e+38,940245.3666190669,1.3278889231720676e+40,0.19531877007058424,1.5645934394242669,0.0,7.320480318447103e+19,0.0,0.0,0.0,0.0,0.0,0.0
3,4,202.5325,47.2116,1.5544e+37,8.138799999999999e+35,1.733e+36,1.4290000000000002e+35,0.9865,0.1034,0.06332,0.01379,0.0078119,0.033182,92.84254691841704,830.6727631591646,0.9116391919560448,7557.11154554121,3.194691264320572e+21,9.536332091126e+38,0.01949655213277058,0.06660012503749087,0.00411183858214464,1.0213965881862583,0.6373942626815107,3.4543725027646305e+35,7.062291134851583e-06,1.0265556937555427e+37,1.968329294465301e+38,2.07443923634362e+38,901614.6809825279,2.0992275388487617e+40,0.27350894330075126,2.0818335958889125,0.0,8.444264558731325e+19,0.0,0.0,0.0,0.0,0.0,0.0
4,5,202.5325,47.2122,1.2588e+37,6.6194999999999994e+35,1.4802000000000002e+36,1.2302e+35,1.0707,0.1215,0.050407,0.0099703,0.0065514,0.024992,92.85195519184016,837.1527307589515,0.8122033753719969,7525.662646390753,3.181396565309845e+21,7.722809338850623e+38,0.015788895924299797,0.05933575976164588,0.004462793279171075,1.0416839236668658,0.6917973006113465,2.7974550350489687e+35,5.7192563565048716e-06,9.184067470191908e+36,2.136330639213378e+38,2.230968768950346e+38,730154.760950081,2.4026016693729277e+40,0.3025986800888566,2.259522788766607,0.0,8.797255143512805e+19,0.0,0.0,0.0,0.0,0.0,0.0
5,6,202.5325,47.2127,1.4427999999999998e+37,7.5649e+35,1.4014e+36,1.3301e+35,0.7687,0.1345,0.05612,0.010538,0.0084753,0.027624,92.85979541973865,842.552703801508,0.7476377127238737,7500.131402255805,3.170603494159098e+21,8.851659766518651e+38,0.01809677394310434,0.054618860977913276,0.0032040246508814848,0.9515302285043624,0.4966700149247615,3.206361713194035e+35,6.555245528412161e-06,8.482757875022808e+36,1.533760495342602e+38,1.6217944358060243e+38,836882.1807267055,1.3727382485295317e+40,0.18087435027002907,1.6222052561173916,0.0,7.454040138831076e+19,0.0,0.0,0.0,0.0,0.0,0.0
6,7,202.5325,47.22,2.5569e+37,1.3325e+36,2.2734e+36,1.7022e+35,0.629,0.087,0.053589,0.013939,0.0062082,0.02785,92.97426275499048,921.3923151794424,1.5113772570656423,7201.211709701969,3.0442382652246956e+21,1.5686726404915123e+39,0.03207072449065948,0.11041315893767094,0.0026217399575965317,0.8919868421983537,0.4064074923737153,5.682247202984356e+35,1.1617069095922549e-05,1.7859880984328805e+37,1.2550219221679413e+38,1.4393029792142137e+38,1483105.1066676695,1.0634107149273147e+40,0.1799775796153657,1.3273931391932343,0.0,6.742774088565658e+19,0.0,0.0,0.0,0.0,0.0,0.0
7,8,202.5325,47.2205,2.3529999999999996e+37,1.2274e+36,3.7515000000000003e+36,3.4611e+35,1.5516,0.1124,0.038653,0.009558,0.0049543,0.022638,92.98210298393002,926.7922889365832,1.7921635904698126,7186.0342417204965,3.0378221465684185e+21,1.4435788349472128e+39,0.02951324444699509,0.13092585352069236,0.006467236435940825,1.11797285268487,1.0025148889778326,5.229116378670339e+35,1.0690665877705721e-05,2.1222641393406258e+37,3.0958537590393926e+38,3.3133092893521257e+38,1364834.8844260732,4.817930839023257e+40,0.6643828549889896,3.274377098207031,0.0,1.0590175858004363e+20,0.0,0.0,0.0,0.0,0.0,0.0
8,9,202.5325,47.2211,1.2189999999999999e+37,6.4402e+35,2.4065000000000003e+36,2.2078e+35,1.8891,0.1122,0.017813,0.0046321,0.0039533,0.012976,92.991511258826,933.2722575144294,1.2480014385861429,7168.754267406376,3.0305172149611067e+21,7.47863408330069e+38,0.015289691874580116,0.0911722417672687,0.007873972899675051,1.1504635783310702,1.2205793224851917,2.709006742711068e+35,5.538428263885794e-06,1.4814337820443555e+37,3.769255823795641e+38,3.920108208742788e+38,707069.1560201374,6.744228297031319e+40,0.8375291591647752,3.9866110957868663,0.0,1.1685324050891286e+20,0.0,0.0,0.0,0.0,0.0,0.0
9,10,202.5317,47.2116,1.8666e+37,9.7473e+35,1.7931e+36,2.1323e+35,0.7512,0.155,0.072927,0.014114,0.0094863,0.038677,98.71160803581222,830.6642701380376,0.9704272993609656,7448.823937503152,3.148913790566401e+21,1.1451696784158383e+39,0.023412419075546555,0.07089471737708998,0.0031310827601693392,0.9453837007305521,0.48536297022437985,4.148180464269467e+35,8.480746675446452e-06,1.1086372595269036e+37,1.4988433512441295e+38,1.6138552576610892e+38,1082703.270407866,1.3435967191891988e+40,0.18853372511296415,1.5852746043910295,0.0,7.368703402971439e+19,0.0,0.0,0.0,0.0,0.0,0.0
