ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um
1 202.5333 47.22 2.0723e+37 1.0825e+36 1.3358e+36 1.1488e+35 0.1209 0.1381 5.2421e-02 1.5025e-02 6.5666e-03 2.5442e-02
2 202.5333 47.2205 1.9726e+37 1.0317e+36 1.9419e+36 2.1371e+35 0.7899 0.1857 4.0538e-02 1.1036e-02 5.3178e-03 2.1216e-02
3 202.5333 47.2211 1.621e+37 8.5108e+35 1.5476e+36 2.752e+35 0.7414 0.3206 2.8617e-02 7.8644e-03 5.6341e-03 1.8041e-02
4 202.5325 47.2116 1.5544e+37 8.1388e+35 1.733e+36 1.429e+35 0.9865 0.1034 6.3320e-02 1.3790e-02 7.8119e-03 3.3182e-02
5 202.5325 47.2122 1.2588e+37 6.6195e+35 1.4802e+36 1.2302e+35 1.0707 0.1215 5.0407e-02 9.9703e-03 6.5514e-03 2.4992e-02
6 202.5325 47.2127 1.4428e+37 7.5649e+35 1.4014e+36 1.3301e+35 0.7687 0.1345 5.6120e-02 1.0538e-02 8.4753e-03 2.7624e-02
7 202.5325 47.22 2.5569e+37 1.3325e+36 2.2734e+36 1.7022e+35 0.629 0.087 5.3589e-02 1.3939e-02 6.2082e-03 2.7850e-02
8 202.5325 47.2205 2.353e+37 1.2274e+36 3.7515e+36 3.4611e+35 1.5516 0.1124 3.8653e-02 9.5580e-03 4.9543e-03 2.2638e-02
9 202.5325 47.2211 1.219e+37 6.4402e+35 2.4065e+36 2.2078e+35 1.8891 0.1122 1.7813e-02 4.6321e-03 3.9533e-03 1.2976e-02
10 202.5317 47.2116 1.8666e+37 9.7473e+35 1.7931e+36 2.1323e+35 0.7512 0.155 7.2927e-02 1.4114e-02 9.4863e-03 3.8677e-02
11 202.5317 47.2127 1.5221e+37 7.9728e+35 1.2202e+36 1.1325e+35 0.4654 0.1398 5.8718e-02 9.5657e-03 8.0653e-03 2.8641e-02
12 202.5317 47.2133 1.5877e+37 8.3114e+35 1.5072e+36 1.8511e+35 0.7324 0.1635 6.5384e-02 1.0549e-02 9.6164e-03 3.1715e-02
