ID RA Dec highres_co lowres_co hi
1 202.533 47.2200 NaN 8.81033e+20 2.46954e+21
2 202.533 47.2205 NaN 8.81033e+20 2.61614e+21
3 202.533 47.2211 NaN 9.34634e+20 2.70631e+21
4 202.533 47.2116 NaN 5.60676e+20 1.50723e+21
5 202.533 47.2122 NaN 6.61589e+20 1.53775e+21
6 202.533 47.2127 NaN 6.63948e+20 1.54368e+21
7 202.533 47.2200 NaN 1.21108e+21 2.52934e+21
8 202.533 47.2205 NaN 1.21108e+21 2.69482e+21
9 202.533 47.2211 NaN 1.32943e+21 2.79674e+21
10 202.532 47.2116 NaN 6.20936e+20 1.45664e+21
11 202.532 47.2127 NaN 7.10189e+20 1.54821e+21
12 202.532 47.2133 NaN 6.34200e+20 1.56087e+21
13 202.532 47.2205 NaN 1.58869e+21 2.62036e+21
14 202.532 47.2222 NaN 1.64287e+21 2.68775e+21
15 202.532 47.2227 NaN 1.55212e+21 2.59117e+21
16 202.531 47.1916 NaN 2.64008e+20 9.78398e+20
17 202.531 47.1933 NaN 5.46255e+20 1.61822e+21
18 202.531 47.1939 NaN 6.58632e+20 1.98523e+21
19 202.531 47.2077 NaN 8.74978e+20 1.82561e+21
20 202.531 47.2083 NaN 8.90184e+20 1.69734e+21
21 202.531 47.2089 NaN 7.34166e+20 1.45156e+21
22 202.531 47.2205 NaN 1.86599e+21 2.49895e+21
23 202.531 47.2222 NaN 2.00485e+21 2.59097e+21
24 202.531 47.2227 NaN 1.87379e+21 2.52574e+21
25 202.531 47.2233 NaN 1.76198e+21 2.45070e+21
26 202.530 47.1933 NaN 4.91012e+20 1.69245e+21
27 202.530 47.1939 NaN 6.54914e+20 2.04631e+21
28 202.530 47.2072 NaN 8.68243e+20 1.97655e+21
29 202.530 47.2077 NaN 9.12588e+20 1.84757e+21
30 202.530 47.2083 NaN 9.26967e+20 1.71673e+21
31 202.529 47.1933 NaN 5.42340e+20 1.78916e+21
32 202.529 47.1939 NaN 7.55250e+20 2.10972e+21
33 202.529 47.1944 NaN 7.55250e+20 2.14678e+21
34 202.529 47.2072 NaN 9.02922e+20 1.85688e+21
35 202.529 47.2077 NaN 9.37279e+20 1.77907e+21
36 202.528 47.1900 NaN 3.45742e+20 1.10020e+21
37 202.528 47.1933 NaN 5.70471e+20 1.78733e+21
38 202.528 47.1939 NaN 8.42529e+20 2.08674e+21
39 202.528 47.1944 NaN 8.42529e+20 2.10811e+21
40 202.528 47.2072 NaN 9.39077e+20 1.69216e+21
41 202.528 47.2077 NaN 9.59537e+20 1.64027e+21
42 202.527 47.1900 NaN 2.84082e+20 1.14869e+21
43 202.527 47.1883 NaN 3.43615e+20 1.14562e+21
44 202.523 47.1727 0.00000 9.05846e+20 1.39497e+21
45 202.523 47.1728 0.00000 9.55528e+20 1.33890e+21
46 202.523 47.1750 0.00000 5.98168e+20 1.74278e+21
47 202.523 47.1755 0.00000 5.81702e+20 1.69104e+21
48 202.522 47.1755 0.00000 7.06352e+20 1.76108e+21
49 202.522 47.2172 0.00000 1.37473e+21 1.34084e+21
50 202.522 47.2189 0.00000 1.33553e+21 1.40477e+21
51 202.521 47.1766 0.00000 5.54036e+20 1.72057e+21
52 202.521 47.2172 0.00000 1.58521e+21 1.34709e+21
53 202.521 47.2178 0.00000 1.48917e+21 1.34174e+21
54 202.521 47.2183 0.00000 1.48917e+21 1.32840e+21
55 202.521 47.2189 0.00000 1.48954e+21 1.29014e+21
56 202.521 47.2194 0.00000 1.48954e+21 1.27270e+21
57 202.520 47.1766 0.00000 6.25087e+20 1.79974e+21
58 202.520 47.2094 0.00000 8.03404e+20 9.25721e+20
59 202.520 47.2166 0.00000 1.70186e+21 1.38184e+21
60 202.520 47.2172 0.00000 1.70970e+21 1.32540e+21
61 202.520 47.2178 0.00000 1.60478e+21 1.28734e+21
62 202.520 47.2183 0.00000 1.60478e+21 1.24910e+21
63 202.520 47.2189 0.00000 1.57454e+21 1.20232e+21
64 202.520 47.2194 0.00000 1.57454e+21 1.18980e+21
65 202.519 47.1733 0.00000 8.55337e+20 1.32067e+21
66 202.519 47.1766 0.00000 6.46500e+20 1.90666e+21
67 202.519 47.2094 0.00000 1.06467e+21 1.08390e+21
68 202.519 47.2155 0.00000 1.87517e+21 1.42660e+21
69 202.519 47.2161 0.00000 1.71318e+21 1.40091e+21
70 202.519 47.2166 0.00000 1.82147e+21 1.34889e+21
71 202.519 47.2172 0.00000 1.77890e+21 1.18224e+21
72 202.519 47.2150 0.00000 1.77744e+21 1.44446e+21
73 202.519 47.2155 0.00000 1.91464e+21 1.42926e+21
74 202.519 47.2161 0.00000 1.94344e+21 1.37668e+21
75 202.519 47.2166 0.00000 1.84716e+21 1.29957e+21
76 202.519 47.2172 0.00000 1.85801e+21 1.07533e+21
77 202.518 47.1683 NaN 5.67258e+20 1.16737e+21
78 202.518 47.2072 0.00000 1.37320e+21 8.35110e+20
79 202.518 47.2111 0.00000 2.10324e+21 1.62270e+21
80 202.518 47.2150 0.00000 1.84374e+21 1.47086e+21
81 202.518 47.2155 0.00000 1.88714e+21 1.44248e+21
82 202.517 47.1683 NaN 5.14087e+20 1.30716e+21
83 202.517 47.2111 0.00000 2.25340e+21 1.68214e+21
84 202.516 47.2055 0.00000 1.47694e+21 1.03707e+21
85 202.516 47.2061 0.00000 1.59963e+21 1.07554e+21
86 202.516 47.2094 0.00000 2.33229e+21 1.47740e+21
87 202.516 47.2100 0.00000 2.38504e+21 1.65662e+21
88 202.516 47.2105 0.00000 2.39690e+21 1.69341e+21
89 202.515 47.1550 NaN 3.76335e+20 1.41014e+21
90 202.515 47.1600 NaN 7.74188e+20 1.42352e+21
91 202.515 47.1605 NaN 7.59114e+20 1.40524e+21
92 202.515 47.1611 NaN 1.00636e+21 1.37430e+21
93 202.515 47.1616 NaN 1.15027e+21 1.33924e+21
94 202.515 47.1622 NaN 1.22800e+21 1.23671e+21
95 202.515 47.1639 NaN 2.74393e+20 1.13726e+21
96 202.515 47.1644 NaN 2.74393e+20 1.17143e+21
97 202.515 47.2055 0.00000 1.70121e+21 1.18044e+21
98 202.515 47.2061 0.00000 1.88301e+21 1.22095e+21
99 202.515 47.2066 0.00000 2.01244e+21 1.24190e+21
100 202.515 47.2089 0.00000 2.63452e+21 1.40184e+21
101 202.515 47.2094 0.00000 2.63452e+21 1.48866e+21
102 202.515 47.2100 0.00000 2.60340e+21 1.63485e+21
103 202.514 47.1611 NaN 6.97509e+20 1.56225e+21
104 202.514 47.1616 NaN 1.31024e+21 1.52868e+21
105 202.514 47.1622 NaN 1.46745e+21 1.33793e+21
106 202.514 47.1639 NaN 6.38057e+20 1.27324e+21
107 202.514 47.1644 NaN 6.38057e+20 1.33957e+21
108 202.514 47.1650 NaN 6.46973e+20 1.45374e+21
109 202.514 47.2050 0.00000 1.60996e+21 1.39180e+21
110 202.514 47.2055 0.00000 2.00302e+21 1.44939e+21
111 202.514 47.2061 0.00000 2.22456e+21 1.46210e+21
112 202.514 47.1616 NaN 1.45507e+21 1.59923e+21
113 202.514 47.1622 NaN 1.72150e+21 1.41256e+21
114 202.514 47.1639 NaN 1.03011e+21 1.33254e+21
115 202.514 47.1644 NaN 1.03011e+21 1.40016e+21
116 202.514 47.1650 NaN 9.47205e+20 1.54250e+21
117 202.514 47.1655 NaN 7.90479e+20 1.61649e+21
118 202.514 47.1661 NaN 7.01070e+20 1.67040e+21
119 202.514 47.2044 0.00000 1.35314e+21 1.33661e+21
120 202.514 47.2050 0.00000 1.89497e+21 1.52982e+21
121 202.514 47.2055 0.00000 2.33464e+21 1.57094e+21
122 202.513 47.1616 NaN 1.53565e+21 1.60598e+21
123 202.513 47.1622 NaN 1.83612e+21 1.49090e+21
124 202.513 47.1639 NaN 1.25539e+21 1.42585e+21
125 202.513 47.1644 NaN 1.25539e+21 1.49120e+21
126 202.513 47.1650 NaN 1.12086e+21 1.64607e+21
127 202.513 47.1655 NaN 9.21326e+20 1.70629e+21
128 202.513 47.1661 NaN 7.71821e+20 1.75132e+21
129 202.513 47.1666 NaN 7.12618e+20 1.76742e+21
130 202.513 47.1705 0.00000 5.47284e+20 1.54032e+21
131 202.513 47.2050 2.86402e+21 2.25691e+21 1.63420e+21
132 202.513 47.2055 1.76443e+21 2.69061e+21 1.64634e+21
133 202.512 47.1622 NaN 1.98408e+21 1.60236e+21
134 202.512 47.1628 NaN 2.19705e+21 1.59997e+21
135 202.512 47.1633 NaN 2.19705e+21 1.58242e+21
136 202.512 47.1639 NaN 1.75876e+21 1.65724e+21
137 202.512 47.1644 NaN 1.75876e+21 1.71755e+21
138 202.512 47.1655 NaN 9.60552e+20 1.84446e+21
139 202.512 47.1661 NaN 8.25962e+20 1.88791e+21
140 202.512 47.1666 NaN 7.62540e+20 1.89387e+21
141 202.512 47.2050 4.72098e+21 2.62756e+21 1.65582e+21
142 202.512 47.2055 6.52183e+21 2.99801e+21 1.66861e+21
143 202.512 47.2061 4.42198e+21 3.18913e+21 1.63500e+21
144 202.512 47.2122 6.38621e+21 2.65918e+21 1.35138e+21
145 202.512 47.2128 0.00000 2.27153e+21 1.44154e+21
146 202.512 47.2133 0.00000 2.27153e+21 1.53394e+21
147 202.512 47.2166 0.00000 2.09370e+21 1.63114e+21
148 202.512 47.2172 0.00000 2.06413e+21 1.56771e+21
149 202.512 47.2183 0.00000 2.01697e+21 1.58512e+21
150 202.511 47.1622 NaN 2.31180e+21 1.63670e+21
151 202.511 47.1628 NaN 2.98077e+21 1.65870e+21
152 202.511 47.1633 NaN 2.98077e+21 1.65144e+21
