ID,RA_x,Dec_x,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,Ha/100um,id,RA_y,Dec_y,xcenter,ycenter,3.6um_aperture_average,r_kpc,LBol,Sigma_star
1,308.8488,60.1622,2.1007e+37,1.5664e+36,1.8951e+36,1.0943e+36,0.7256,0.0852,0.054531,0.0087675,0.017518000000000002,0.047688,0.0078068,1,308.8488,60.1622,9.157874669618991,1047.3554382365614,0.5595919012797539,8.978637728302516,2.9015193370165747e+39,195.85716544791387
2,308.8493,60.1626,2.7726e+37,1.4515e+36,2.8458e+36,1.7624e+35,0.9294,0.0583,0.065191,0.010517,0.022785,0.056738,0.0099246,2,308.8493,60.1626,9.122547226534834,1053.007945984489,0.7936584307060555,9.013761225420787,3.829558011049724e+39,277.7804507471194
3,308.8498,60.163,3.1386e+37,1.6424e+36,7.035800000000001e+36,3.8189e+35,2.1635,0.0325,0.07430199999999999,0.01242,0.026051,0.062936,0.012005,3,308.8498,60.163,9.087293546238698,1058.6604350709572,1.5758013716076849,9.049249466416937,4.335082872928177e+39,551.5304800626897
4,308.8504,60.1634,1.6762000000000002e+37,8.8059e+35,1.6436e+36,1.2576e+35,0.8574,0.0978,0.060355999999999986,0.011128,0.02402,0.053054,0.010545,4,308.8504,60.1634,8.543174358433816,1064.6250497035403,1.2797414473875093,9.091930187391577,2.3151933701657462e+39,447.90950658562826
5,308.8525,60.1652,1.16e+37,6.7633e+35,7.3008e+35,6.3087e+35,0.1569,0.7366,0.025609,0.0079064,0.050762,0.066025,0.0084027,5,308.8525,60.1652,9.149167368527062,1089.5927195273323,0.5948715089971516,9.247157185755462,1.6022099447513813e+39,208.20502814900306
6,308.8535,60.166,1.6622e+38,8.7813e+36,9.9786e+36,1.6111e+36,0.0822,0.3975,0.07138,0.018279,0.088259,0.15517,0.02377,6,308.8535,60.166,9.079684125634344,1100.8974363807574,1.280340681511391,9.322887587734805,2.29585635359116e+40,448.11923852898684
7,308.8540000000001,60.1664,3.086e+38,1.6229e+37,2.2777e+37,2.8773e+36,0.4084,0.28800000000000003,0.10691,0.026046,0.085337,0.21133,0.035078,7,308.8540000000001,60.1664,9.045053147869908,1106.5497668147318,2.090040644390018,9.361229133590234,4.2624309392265196e+40,731.5142255365063
8,308.8546,60.1669,3.3841000000000007e+38,1.7715000000000004e+37,2.5994e+37,3.2914000000000004e+36,0.4716,0.2926,0.10225,0.025052,0.069888,0.18677,0.033376,8,308.8546,60.1669,9.129084391134027,1113.5371176468147,1.740422621575431,9.407945879081064,4.674171270718233e+40,609.1479175514008
9,308.8474,60.162,1.3413000000000002e+37,1.2144e+36,1.2973e+36,3.4305e+35,0.8357,1.4941,0.048736,0.0073043,0.012279,0.040902,0.0063185,9,308.8474,60.162,15.028745866957935,1040.9395768630702,0.5782276357299975,8.881663858629992,1.8526243093922655e+39,202.37967250549912
10,308.8479,60.1624,3.4726000000000008e+37,2.0743e+36,3.7959e+36,5.5747e+35,1.029,0.3952,0.076654,0.011191,0.019669,0.06676499999999999,0.010717,10,308.8479,60.1624,14.993283164623904,1046.5920932392996,0.7768270045031129,8.916666273787932,4.7964088397790067e+39,271.8894515760895
11,308.8485,60.1629,7.0821e+37,3.7009e+36,9.8978e+36,5.2849e+35,1.4171,0.0254,0.12482,0.018039,0.029211,0.10283,0.018547,11,308.8485,60.1629,15.076297435296285,1053.5796787735874,1.1181023245785595,8.959233437191532,9.781906077348067e+39,391.3358136024958
12,308.849,60.1633,1.0219e+38,5.3393e+36,1.866e+37,9.8279e+35,1.8394,0.0235,0.1623,0.024248,0.033376,0.12903,0.0257,12,308.849,60.1633,15.040998560240155,1059.2321531490957,1.3629587245526535,8.994998181553091,1.4114640883977898e+40,477.03555359342874
13,308.8495,60.1637,7.408000000000001e+37,3.8711e+36,8.4319e+36,4.5316e+35,1.0928,0.0264,0.12654,0.020991,0.027943,0.10284,0.021751,13,308.8495,60.1637,15.005773447931574,1064.884608864011,1.1259260533777196,9.031220537809473,1.0232044198895028e+40,394.07411868220186
14,308.85,60.1641,1.9933e+37,1.0502e+36,1.6994e+36,2.8435e+35,0.6363,0.4535,0.06253,0.01263,0.020441,0.057707000000000015,0.012214,14,308.85,60.1641,14.970622097768796,1070.5370459190574,0.8414658799258241,9.067722625241297,2.7531767955801103e+39,294.5130579740384
15,308.8516,60.1654,4.8988e+36,7.0524e+35,4.4803e+35,2.9148e+35,0.7472,1.4884,0.028972,0.0099467,0.06236000000000001,0.07267699999999999,0.009687200000000002,15,308.8516,60.1654,14.984115217759724,1088.8293037299654,0.5221602584683926,9.18711794298487,6.7662983425414364e+38,182.75609046393743
16,308.8521,60.1658,2.1820000000000003e+37,1.3041e+36,1.909e+36,5.4409e+35,0.6771,1.6273,0.031672000000000006,0.01002,0.063998,0.08317999999999999,0.011055,16,308.8521,60.1658,14.949275220777054,1094.4816614614253,0.7560203650903988,9.22504161084624,3.013812154696133e+39,264.6071277816396
17,308.8532,60.1667,1.2383e+38,6.584000000000002e+36,8.918400000000001e+36,1.5186e+36,0.3698,0.4208,0.066087,0.018148,0.065801,0.14486,0.022769,17,308.8532,60.1667,14.998373584647313,1107.1213643854023,1.7897313428141282,9.309953602244784,1.7103591160220995e+40,626.4059699849448
18,308.8537,60.1671,1.4087e+38,1.6207e+37,1.0690000000000002e+37,1.7116e+36,0.4524,0.5029,0.069741,0.019319,0.068815,0.14488,0.024028,18,308.8537,60.1671,14.963771177907805,1112.7736614531618,1.5689822083314229,9.349029884856039,1.945718232044199e+40,549.143772915998
19,308.8471,60.1627,4.494e+37,2.3554000000000003e+36,3.0343e+36,3.0800000000000007e+35,0.2678,0.2076,0.092442,0.013007,0.023748,0.079204,0.012752,19,308.8471,60.1627,20.947045906487233,1047.1639370622645,0.8647052133598342,8.861980609281437,6.207182320441989e+39,302.64682467594196
20,308.8476,60.1631,9.770500000000001e+37,5.0734e+36,9.9169e+36,9.178e+35,0.9118,0.1737,0.15792,0.021843,0.032976,0.13071,0.02311,20,308.8476,60.1631,20.911611772112906,1052.8164200661863,1.191565500726785,8.897759224527768,1.3495165745856355e+40,417.0479252543747
21,308.8481,60.1635,1.5378000000000002e+38,8.045000000000001e+36,2.0333e+37,1.8782e+36,1.3295,0.1787,0.21706,0.030875,0.03535,0.17504,0.033813,21,308.8481,60.1635,20.87625140095417,1058.46888441078,1.6685938776611045,8.93379522216029,2.124033149171271e+40,584.0078571813866
22,308.8487,60.164,1.2901000000000001e+38,6.7767e+36,1.4542e+37,1.3027e+36,1.0774,0.1725,0.18767,0.029424,0.029955,0.14629,0.031741000000000005,22,308.8487,60.164,20.959389089488013,1065.4564071298278,1.6155152717134855,8.977700388426076,1.7819060773480665e+40,565.43034509972
23,308.8492,60.1644,4.4935e+37,2.3985e+36,3.1765e+36,2.6e+35,0.3404,0.1541,0.092794,0.017535,0.021238,0.080539,0.017668,23,308.8492,60.1644,20.924192546249515,1071.1088294749093,0.994540616402652,9.014556000192128,6.206491712707182e+39,348.0892157409282
24,308.8508,60.1657,4.9641e+36,5.1962e+35,4.1915e+35,1.0396e+35,0.6211,0.8652,0.038863,0.014152,0.061061,0.085976,0.012769,24,308.8508,60.1657,20.93753857058448,1089.4010417386926,0.535098963380398,9.135066142833676,6.856491712707182e+38,187.2846371831393
25,308.8513,60.1661,1.859e+37,9.8018e+35,2.1821e+36,3.1806e+35,1.1414,0.3523,0.041758,0.014544,0.064509,0.10835999999999997,0.014622,25,308.8513,60.1661,20.902653381466394,1095.0533847636368,0.7677977121856351,9.17338132631508,2.5676795580110498e+39,268.7291992649723
26,308.8518,60.1665,3.0528000000000004e+37,1.8225e+36,1.9191e+36,5.199e+35,0.155,0.9085,0.045679,0.014695,0.062203,0.12081,0.016093,26,308.8518,60.1665,20.86784195522136,1100.7057091287145,1.056191272477142,9.212059379431087,4.2165745856353595e+39,369.6669453669997
27,308.8467,60.1634,7.704900000000002e+37,4.0286e+36,4.4035e+36,3.5049e+35,0.0045,0.1395,0.13538,0.01949,0.037231,0.11855999999999997,0.019959,27,308.8467,60.1634,27.374241385638584,1053.076227628535,0.7493828994510899,8.836957105672543,1.0642127071823207e+40,262.2840148078815
28,308.8473,60.1638,9.8135e+37,5.1617000000000005e+36,9.1755e+36,7.9353e+35,0.7821,0.1641,0.15902,0.023349,0.032291,0.13068,0.024918,28,308.8473,60.1638,26.8298795745477,1059.0407937079503,1.2559674166640775,8.880212932841047,1.3554558011049725e+40,439.58859583242713
29,308.8478,60.1642,8.905500000000001e+37,4.7721e+36,7.8433e+36,6.8044e+35,0.6877,0.1718,0.14955,0.02384,0.028013,0.12487,0.025299,29,308.8478,60.1642,26.79454777233468,1064.6932246824433,1.3310150328222283,8.917040773446956,1.2300414364640885e+40,465.8552614877799
30,308.8483,60.1647,3.5874e+37,2.0251e+36,2.1263e+36,1.6934e+35,0.062,0.1546,0.087756,0.016409,0.022525,0.07623200000000001,0.016442,30,308.8483,60.1647,27.386647376975926,1071.3685914774742,0.7841366179934677,8.954973392097456,4.954972375690608e+39,274.4478162977137
