ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um Ha/100um
1 308.8488 60.1622 2.1007e+37 1.5664e+36 1.8951e+36 1.0943e+36 0.7256 0.0852 5.4531e-02 8.7675e-03 1.7518e-02 4.7688e-02 7.8068e-03
2 308.8493 60.1626 2.7726e+37 1.4515e+36 2.8458e+36 1.7624e+35 0.9294 0.0583 6.5191e-02 1.0517e-02 2.2785e-02 5.6738e-02 9.9246e-03
3 308.8498 60.163 3.1386e+37 1.6424e+36 7.0358e+36 3.8189e+35 2.1635 0.0325 7.4302e-02 1.2420e-02 2.6051e-02 6.2936e-02 1.2005e-02
4 308.8504 60.1634 1.6762e+37 8.8059e+35 1.6436e+36 1.2576e+35 0.8574 0.0978 6.0356e-02 1.1128e-02 2.4020e-02 5.3054e-02 1.0545e-02
5 308.8525 60.1652 1.16e+37 6.7633e+35 7.3008e+35 6.3087e+35 0.1569 0.7366 2.5609e-02 7.9064e-03 5.0762e-02 6.6025e-02 8.4027e-03
6 308.8535 60.166 1.6622e+38 8.7813e+36 9.9786e+36 1.6111e+36 0.0822 0.3975 7.1380e-02 1.8279e-02 8.8259e-02 1.5517e-01 2.3770e-02
7 308.854 60.1664 3.086e+38 1.6229e+37 2.2777e+37 2.8773e+36 0.4084 0.288 1.0691e-01 2.6046e-02 8.5337e-02 2.1133e-01 3.5078e-02
8 308.8546 60.1669 3.3841e+38 1.7715e+37 2.5994e+37 3.2914e+36 0.4716 0.2926 1.0225e-01 2.5052e-02 6.9888e-02 1.8677e-01 3.3376e-02
9 308.8474 60.162 1.3413e+37 1.2144e+36 1.2973e+36 3.4305e+35 0.8357 1.4941 4.8736e-02 7.3043e-03 1.2279e-02 4.0902e-02 6.3185e-03
10 308.8479 60.1624 3.4726e+37 2.0743e+36 3.7959e+36 5.5747e+35 1.029 0.3952 7.6654e-02 1.1191e-02 1.9669e-02 6.6765e-02 1.0717e-02
11 308.8485 60.1629 7.0821e+37 3.7009e+36 9.8978e+36 5.2849e+35 1.4171 0.0254 1.2482e-01 1.8039e-02 2.9211e-02 1.0283e-01 1.8547e-02
12 308.849 60.1633 1.0219e+38 5.3393e+36 1.866e+37 9.8279e+35 1.8394 0.0235 1.6230e-01 2.4248e-02 3.3376e-02 1.2903e-01 2.5700e-02
13 308.8495 60.1637 7.408e+37 3.8711e+36 8.4319e+36 4.5316e+35 1.0928 0.0264 1.2654e-01 2.0991e-02 2.7943e-02 1.0284e-01 2.1751e-02
14 308.85 60.1641 1.9933e+37 1.0502e+36 1.6994e+36 2.8435e+35 0.6363 0.4535 6.2530e-02 1.2630e-02 2.0441e-02 5.7707e-02 1.2214e-02
15 308.8516 60.1654 4.8988e+36 7.0524e+35 4.4803e+35 2.9148e+35 0.7472 1.4884 2.8972e-02 9.9467e-03 6.2360e-02 7.2677e-02 9.6872e-03
16 308.8521 60.1658 2.182e+37 1.3041e+36 1.909e+36 5.4409e+35 0.6771 1.6273 3.1672e-02 1.0020e-02 6.3998e-02 8.3180e-02 1.1055e-02
17 308.8532 60.1667 1.2383e+38 6.584e+36 8.9184e+36 1.5186e+36 0.3698 0.4208 6.6087e-02 1.8148e-02 6.5801e-02 1.4486e-01 2.2769e-02
18 308.8537 60.1671 1.4087e+38 1.6207e+37 1.069e+37 1.7116e+36 0.4524 0.5029 6.9741e-02 1.9319e-02 6.8815e-02 1.4488e-01 2.4028e-02
19 308.8471 60.1627 4.494e+37 2.3554e+36 3.0343e+36 3.08e+35 0.2678 0.2076 9.2442e-02 1.3007e-02 2.3748e-02 7.9204e-02 1.2752e-02
20 308.8476 60.1631 9.7705e+37 5.0734e+36 9.9169e+36 9.178e+35 0.9118 0.1737 1.5792e-01 2.1843e-02 3.2976e-02 1.3071e-01 2.3110e-02
21 308.8481 60.1635 1.5378e+38 8.045e+36 2.0333e+37 1.8782e+36 1.3295 0.1787 2.1706e-01 3.0875e-02 3.5350e-02 1.7504e-01 3.3813e-02
22 308.8487 60.164 1.2901e+38 6.7767e+36 1.4542e+37 1.3027e+36 1.0774 0.1725 1.8767e-01 2.9424e-02 2.9955e-02 1.4629e-01 3.1741e-02
23 308.8492 60.1644 4.4935e+37 2.3985e+36 3.1765e+36 2.6e+35 0.3404 0.1541 9.2794e-02 1.7535e-02 2.1238e-02 8.0539e-02 1.7668e-02
24 308.8508 60.1657 4.9641e+36 5.1962e+35 4.1915e+35 1.0396e+35 0.6211 0.8652 3.8863e-02 1.4152e-02 6.1061e-02 8.5976e-02 1.2769e-02
25 308.8513 60.1661 1.859e+37 9.8018e+35 2.1821e+36 3.1806e+35 1.1414 0.3523 4.1758e-02 1.4544e-02 6.4509e-02 1.0836e-01 1.4622e-02
26 308.8518 60.1665 3.0528e+37 1.8225e+36 1.9191e+36 5.199e+35 0.155 0.9085 4.5679e-02 1.4695e-02 6.2203e-02 1.2081e-01 1.6093e-02
27 308.8467 60.1634 7.7049e+37 4.0286e+36 4.4035e+36 3.5049e+35 0.0045 0.1395 1.3538e-01 1.9490e-02 3.7231e-02 1.1856e-01 1.9959e-02
28 308.8473 60.1638 9.8135e+37 5.1617e+36 9.1755e+36 7.9353e+35 0.7821 0.1641 1.5902e-01 2.3349e-02 3.2291e-02 1.3068e-01 2.4918e-02
29 308.8478 60.1642 8.9055e+37 4.7721e+36 7.8433e+36 6.8044e+35 0.6877 0.1718 1.4955e-01 2.3840e-02 2.8013e-02 1.2487e-01 2.5299e-02
30 308.8483 60.1647 3.5874e+37 2.0251e+36 2.1263e+36 1.6934e+35 0.062 0.1546 8.7756e-02 1.6409e-02 2.2525e-02 7.6232e-02 1.6442e-02
31 308.8504 60.1664 1.6734e+37 8.7914e+35 1.497e+36 1.204e+35 0.7124 0.107 5.6143e-02 1.9496e-02 6.3401e-02 1.3683e-01 1.8332e-02
32 308.851 60.1668 1.8563e+37 9.7423e+35 1.08e+36 1.0669e+35 0.0328 0.1473 5.2936e-02 1.7399e-02 7.0219e-02 1.3086e-01 1.7510e-02
33 308.8464 60.1641 3.495e+37 1.8711e+36 2.4567e+36 2.5411e+35 0.3314 0.2177 7.9254e-02 1.3020e-02 2.6352e-02 7.3697e-02 1.2801e-02
34 308.849 60.1662 3.263e+36 1.9303e+35 3.4378e+35 9.0587e+34 0.9707 0.4909 6.4978e-02 1.9482e-02 4.8930e-02 1.0593e-01 1.7070e-02
35 308.8496 60.1666 9.3217e+36 4.9558e+35 1.2334e+36 1.1143e+35 1.3306 0.1302 6.9169e-02 2.0942e-02 5.9196e-02 1.3415e-01 1.9145e-02
36 308.8501 60.167 1.3603e+37 7.1668e+35 2.2657e+36 1.5073e+35 1.6942 0.0732 6.9700e-02 2.0385e-02 7.1463e-02 1.4579e-01 1.9345e-02
37 308.8506 60.1675 2.4384e+37 1.2773e+36 2.7693e+36 1.7278e+35 1.0893 0.06 7.7078e-02 2.1591e-02 7.8488e-02 1.4813e-01 2.0896e-02
38 308.8511 60.1679 2.4774e+37 1.4513e+36 2.2635e+36 8.5077e+35 0.7456 1.3939 7.3401e-02 1.9897e-02 6.3870e-02 1.2627e-01 1.9317e-02
39 308.8492 60.1673 6.5624e+36 3.5479e+35 1.3901e+36 1.1665e+35 2.074 0.1177 8.4158e-02 1.9849e-02 6.1985e-02 1.2431e-01 1.8035e-02
40 308.8498 60.1677 2.0371e+37 1.0683e+36 2.422e+36 1.5743e+35 1.1616 0.0679 1.0174e-01 2.2953e-02 5.9170e-02 1.4056e-01 2.0961e-02
41 308.8503 60.1682 2.0573e+37 1.2972e+36 1.5624e+36 7.2321e+35 0.4537 2.2203 9.6500e-02 2.0757e-02 4.5625e-02 1.1808e-01 1.8981e-02
42 308.8284 60.1514 1.1421e+37 6.7583e+35 1.3031e+36 1.7898e+35 1.0966 0.3232 2.4148e-02 5.1477e-03 9.0701e-03 1.8587e-02 4.0892e-03
43 308.8489 60.168 1.0586e+37 9.4263e+35 9.476e+35 2.3829e+35 0.7134 1.3397 1.0734e-01 1.9711e-02 4.0289e-02 1.0814e-01 1.7094e-02
44 308.8494 60.1684 1.5502e+37 1.214e+36 1.4602e+36 7.0814e+35 0.7938 2.1503 1.1087e-01 1.9499e-02 3.3038e-02 1.0084e-01 1.6890e-02
45 308.827 60.1512 1.8663e+37 1.0638e+36 3.6606e+36 3.1794e+35 1.9525 0.1816 3.0311e-02 5.2367e-03 6.1789e-03 2.1593e-02 4.8313e-03
46 308.8276 60.1516 1.6949e+37 8.9032e+35 2.9655e+36 1.8168e+35 1.772 0.0576 2.8489e-02 5.3632e-03 7.2110e-03 2.0818e-02 4.7912e-03
47 308.8412 60.1627 6.8629e+36 4.8617e+35 1.0193e+36 1.5024e+35 1.5132 0.3616 5.5839e-02 1.1061e-02 1.7767e-02 3.7607e-02 7.8785e-03
48 308.8475 60.1678 6.7343e+36 9.5189e+35 6.6087e+35 9.8339e+34 0.8585 0.3498 1.2071e-01 2.0473e-02 3.9411e-02 1.0500e-01 1.6851e-02
49 308.848 60.1683 9.3683e+36 9.3358e+35 1.2103e+36 2.0576e+35 1.2929 0.5625 1.1794e-01 1.9527e-02 3.3268e-02 9.8081e-02 1.5997e-02
50 308.8486 60.1687 1.359e+37 1.0241e+36 1.7347e+36 7.1408e+35 1.2739 0.0933 1.1738e-01 1.9003e-02 2.9104e-02 9.1337e-02 1.5503e-02
51 308.8257 60.151 2.8314e+37 1.5589e+36 5.933e+36 4.7643e+35 2.0569 0.1597 3.8372e-02 5.9722e-03 6.0003e-03 2.6689e-02 5.8156e-03
52 308.8262 60.1515 4.7372e+37 2.5045e+36 1.1488e+37 1.0739e+36 2.2877 0.1882 5.4682e-02 8.6310e-03 7.6397e-03 3.7889e-02 8.6212e-03
53 308.8267 60.1519 3.1273e+37 1.6365e+36 9.3317e+36 4.9936e+35 2.6153 0.0312 4.1760e-02 7.2539e-03 7.4951e-03 3.0669e-02 6.9554e-03
54 308.8367 60.16 1.3863e+37 7.3219e+35 1.8138e+36 1.8149e+35 1.3129 0.2009 1.0554e-01 1.8295e-02 1.8117e-02 5.6771e-02 1.1831e-02
55 308.8404 60.163 7.5166e+36 4.0321e+35 9.0763e+35 1.0185e+35 1.1861 0.1763 4.7336e-02 8.9372e-03 1.6972e-02 3.3964e-02 6.8675e-03
56 308.8461 60.1677 2.885e+35 3.0531e+35 8.2581e+34 9.508e+34 2.5496 1.6939 1.0866e-01 1.7978e-02 3.8588e-02 8.1513e-02 1.4169e-02
