,time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
0,6.0,1000000.0,1434444049.1652508,79318.9881507777,79318.9881507777,16.37691087953274,79318.9881507777,79318.9881507777,16.37691087953274,79318.9881507777,79318.9881507777,16.37691087953274,1000000.0007200831
1,6.1,1258925.411794166,1475206489.5686917,79318.9881499662,79318.9881499662,16.37691087970029,79318.9881499662,79318.9881499662,16.37691087970029,79318.9881499662,79318.9881499662,16.37691087970029,999063.8307200831
2,6.2,1584893.1924611141,1432733470.9646986,79318.98814964578,79318.98814964578,16.37691087976645,79318.98814964578,79318.98814964578,16.37691087976645,79318.98814964578,79318.98814964578,16.37691087976645,995590.6407200831
3,6.3,1995262.3149688789,1324465620.4579816,79318.98814890733,79318.98814890733,16.376910879918917,79318.98814890733,79318.98814890733,16.376910879918917,79318.98814890733,79318.98814890733,16.376910879918917,989451.6607200832
4,6.4,2511886.4315095823,1139349383.4029644,79318.98814744034,79318.98814744034,16.376910880221804,79318.98814744034,79318.98814744034,16.376910880221804,79318.98814744034,79318.98814744034,16.376910880221804,978838.9424290252
5,6.5,3162277.6601683795,922443114.9891881,79318.9881450663,79318.9881450663,16.37691088071197,79318.9881450663,79318.9881450663,16.37691088071197,79318.9881450663,79318.9881450663,16.37691088071197,966652.4866
6,6.6,3981071.7055349695,647001255.7674546,79318.98813594578,79318.98813594578,16.376910882595073,79318.98813594578,79318.98813594578,16.376910882595073,79318.98813594578,79318.98813594578,16.376910882595073,951659.2431
7,6.7,5011872.336272725,460662481.7840297,79318.9880835065,79318.9880835065,16.37691089342216,79318.9880835065,79318.9880835065,16.37691089342216,79318.9880835065,79318.9880835065,16.37691089342216,934670.0541000001
8,6.8,6309573.44480193,330862499.9765223,79318.98796823644,79318.98796823644,16.37691091722185,79318.98796823644,79318.98796823644,16.37691091722185,79318.98796823644,79318.98796823644,16.37691091722185,919045.478
9,6.9,7943282.347242822,244533861.29090843,79318.9877725385,79318.9877725385,16.376910957627405,79318.9877725385,79318.9877725385,16.376910957627405,79318.9877725385,79318.9877725385,16.376910957627405,904473.525
10,7.0,10000000.0,166653100.23657706,79318.9877762192,79318.9877762192,16.376910956867455,79318.9877762192,79318.9877762192,16.376910956867455,79318.9877762192,79318.9877762192,16.376910956867455,889923.2797
11,7.1,12589254.117941663,115559909.18626659,79318.98780021483,79318.98780021483,16.3769109519131,79318.98780021483,79318.98780021483,16.3769109519131,79318.98780021483,79318.98780021483,16.3769109519131,876663.6306
12,7.2,15848931.924611142,81699349.62383555,79318.98785047437,79318.98785047437,16.376910941536067,79318.98785047437,79318.98785047437,16.376910941536067,79318.98785047437,79318.98785047437,16.376910941536067,863358.442
13,7.3,19952623.149688788,62434632.1927027,79318.98783281064,79318.98783281064,16.376910945183077,79318.98783281064,79318.98783281064,16.376910945183077,79318.98783281064,79318.98783281064,16.376910945183077,852415.16
14,7.4,25118864.315095823,48687082.48332786,79318.98790766118,79318.98790766118,16.376910929728762,79318.98790766118,79318.98790766118,16.376910929728762,79318.98790766118,79318.98790766118,16.376910929728762,846490.038
15,7.5,31622776.60168379,39089973.71209465,79318.98787115978,79318.98787115978,16.37691093726517,79318.98787115978,79318.98787115978,16.37691093726517,79318.98787115978,79318.98787115978,16.37691093726517,834736.0750000001
16,7.6,39810717.05534969,30989874.962456405,79318.98785220187,79318.98785220187,16.37691094117939,79318.98785220187,79318.98785220187,16.37691094117939,79318.98785220187,79318.98785220187,16.37691094117939,825949.784
17,7.7,50118723.36272725,25927817.548902906,79318.98768036519,79318.98768036519,16.376910976658337,79318.98768036519,79318.98768036519,16.376910976658337,79318.98768036519,79318.98768036519,16.376910976658337,815807.661
18,7.8,63095734.448019296,22044379.24965376,79318.98745443393,79318.98745443393,16.376911023306135,79318.98745443393,79318.98745443393,16.376911023306135,79318.98745443393,79318.98745443393,16.376911023306135,806231.797
