time,kappa_av_rp_135_300,kappa_f_rp_135_300,kappa_av_rp_135_100,kappa_f_rp_135_100,kappa_av_rp_100_300,kappa_f_rp_100_300,kappa_av_rp_100_300_z_010,kappa_f_rp_100_300_z_010,kappa_av_rp_chab,kappa_f_rp_chab
6.0,50630.23643314023,65291.77700440576,50175.988242439074,64801.10578809393,50944.23188072836,65652.34698421432,51134.323207988746,66153.93985449281,50696.09827364052,65368.26175248812
6.1,49191.568199293724,63513.91364173339,49863.11027807921,64337.70535807144,49144.627810630365,63451.48868742462,50362.40576959984,65045.535435121834,49204.89205120099,63528.465458896295
6.2,48529.74835089417,62715.57086295616,49453.27029044239,63811.608043577704,48481.954243140404,62655.87531259586,49326.89935505109,63763.64372489963,48539.08345719615,62725.90051495362
6.3,47710.04853503471,61738.58881407321,48444.01062035155,62587.56829646646,47730.65554880761,61761.81111085531,47703.55457114639,61840.29830164747,47724.970806235026,61755.84500592376
6.4,46598.94009869749,60479.79903550576,46310.72682665765,60111.64197305385,46697.31105768159,60610.943818153086,46160.32947904421,60178.992588133995,46621.375981757694,60508.16533910238
6.5,44901.006225029356,58597.98267340024,44838.497338460744,58495.66733877228,44911.938503920435,58648.817844705954,45055.593358575614,58940.069229608685,44910.369588838956,58614.21198191826
6.6,43763.99812194939,57261.686536433685,43804.47225615388,57304.07384202533,43819.01425432353,57351.53335098292,45169.933462090135,58997.482164830304,43781.35407104388,57285.56578827689
6.7,42366.08732388939,55564.52026923455,42403.00110279241,55610.79973942663,42469.22641055967,55688.64850384718,43831.57582694735,57289.01179740467,42390.745348521836,55594.015778099114
6.8,39730.78865607961,52349.82866978179,39793.97483854431,52431.759354449445,39661.01419025538,52242.55473523213,41797.72419118764,54819.42058283533,39732.809921285225,52349.10797768548
6.9,36493.94545966198,48398.314986028294,36564.7051894435,48490.597456843156,36194.4948149108,47992.97534416002,38350.30836089013,50581.58174589566,36463.19985670522,48355.21408430272
7.0,35206.11658604532,46898.447221973416,35262.94929647998,46973.51894841004,34884.88480607767,46458.57210466672,36249.68202949577,48060.942395548846,35175.51004238638,46854.85550296511
7.1,33988.48055400612,45495.91003792985,34032.54059335955,45553.93439547757,33720.53418801988,45124.37106908792,34879.58278352502,46453.2081192252,33965.29211704834,45461.87011828013
7.2,33320.57748630575,44744.83291376098,33324.25040332697,44749.88627898245,33282.427240017314,44671.211099464555,34461.438002045,46081.64208729982,33325.1779607951,44746.814227713956
7.3,31735.845168348056,42771.64574474101,31768.86773644651,42815.02008866059,31544.70422016669,42495.52458034328,32938.93157925173,44234.3355042717,31722.567031156803,42749.96304835375
7.4,31511.662881184042,42592.33074560282,31511.872809607827,42592.61274540369,31468.173169662532,42511.131605167335,32516.532484655956,43765.71807347203,31519.60407107672,42598.6834034473
7.5,29880.795481256468,40557.81450265752,29881.12713288086,40558.239860585745,29892.89410531282,40549.34303601748,31511.96739711829,42561.71530144619,29892.522930009378,40569.198216335906
7.6,28623.571394448456,39001.61070639927,28623.872458897757,39001.99559985098,28644.652596740158,39003.40480071194,29925.334364551418,40583.06074077009,28641.132132843228,39020.48006908811
7.7,26371.980750753464,36109.67360595359,26371.32620963091,36108.84579157165,26184.433208297007,35830.43476953263,28858.22630341436,39282.278430447775,26358.99487932135,36087.65832726112
7.8,24315.313070634744,33418.22690004636,24314.870228753956,33417.69807148726,24193.86126568966,33218.647479665306,25928.747525060156,35498.49365036354,24306.590516852648,33400.84965225238
