,tau,momentum
0,1.00E-07,1.30E-05
1,1.01E-07,1.30E-05
2,1.03E-07,1.30E-05
3,1.04E-07,3.52E-06
4,1.06E-07,3.52E-06
5,1.07E-07,1.92E-06
6,1.09E-07,7.76E-07
7,1.10E-07,6.80E-06
8,1.12E-07,3.40E-08
9,1.13E-07,5.76E-06
10,1.15E-07,5.76E-06
11,1.16E-07,5.76E-06
12,1.18E-07,2.33E-09
13,1.20E-07,1.09E-06
14,1.21E-07,1.09E-06
15,1.23E-07,1.09E-06
16,1.25E-07,8.36E-08
17,1.27E-07,1.30E-07
18,1.28E-07,7.57E-06
19,1.30E-07,8.01E-06
20,1.32E-07,1.59E-05
21,1.34E-07,2.46E-06
22,1.36E-07,4.35E-06
23,1.37E-07,1.22E-06
24,1.39E-07,1.12E-06
25,1.41E-07,1.12E-06
26,1.43E-07,2.96E-06
27,1.45E-07,7.42E-06
28,1.47E-07,1.15E-05
29,1.49E-07,3.54E-06
30,1.51E-07,2.03E-06
31,1.54E-07,9.86E-07
32,1.56E-07,4.63E-07
33,1.58E-07,5.74E-06
34,1.60E-07,7.01E-06
35,1.62E-07,1.88E-06
36,1.65E-07,3.85E-06
37,1.67E-07,7.75E-06
38,1.69E-07,2.76E-07
39,1.72E-07,1.60E-05
40,1.74E-07,1.54E-08
41,1.76E-07,1.54E-08
42,1.79E-07,3.86E-08
43,1.81E-07,2.17E-05
44,1.84E-07,1.55E-08
45,1.86E-07,6.54E-06
46,1.89E-07,3.40E-08
47,1.92E-07,1.95E-06
48,1.94E-07,1.17E-05
49,1.97E-07,6.78E-06
50,2.00E-07,6.35E-06
51,2.03E-07,5.56E-06
52,2.05E-07,6.37E-06
53,2.08E-07,7.64E-06
54,2.11E-07,4.97E-07
55,2.14E-07,1.69E-06
56,2.17E-07,4.69E-06
57,2.20E-07,2.81E-06
58,2.23E-07,7.55E-07
59,2.26E-07,3.57E-06
60,2.29E-07,7.53E-06
61,2.33E-07,2.46E-06
62,2.36E-07,7.28E-06
63,2.39E-07,4.26E-06
64,2.43E-07,9.80E-06
65,2.46E-07,1.38E-05
66,2.49E-07,2.20E-06
67,2.53E-07,2.33E-07
68,2.56E-07,1.18E-05
69,2.60E-07,8.83E-07
70,2.64E-07,5.19E-06
71,2.67E-07,7.51E-08
72,2.71E-07,9.44E-08
73,2.75E-07,1.73E-07
74,2.79E-07,1.34E-06
75,2.82E-07,4.63E-07
76,2.86E-07,5.02E-06
77,2.90E-07,9.93E-06
78,2.94E-07,4.96E-08
79,2.99E-07,2.89E-06
80,3.03E-07,5.46E-06
81,3.07E-07,8.28E-06
82,3.11E-07,1.58E-05
83,3.15E-07,1.22E-05
84,3.20E-07,8.86E-06
85,3.24E-07,8.15E-06
86,3.29E-07,4.18E-06
87,3.33E-07,2.99E-06
88,3.38E-07,1.00E-08
89,3.43E-07,1.23E-05
90,3.48E-07,1.01E-05
91,3.52E-07,2.85E-06
92,3.57E-07,1.34E-05
93,3.62E-07,3.36E-06
94,3.67E-07,6.30E-06
95,3.73E-07,6.67E-06
96,3.78E-07,7.72E-06
97,3.83E-07,7.05E-06
98,3.88E-07,1.42E-05
99,3.94E-07,5.24E-06
100,3.99E-07,2.80E-06
101,4.05E-07,5.43E-06
102,4.10E-07,8.14E-06
103,4.16E-07,2.56E-06
104,4.22E-07,2.43E-06
105,4.28E-07,1.24E-05
106,4.34E-07,7.98E-08
107,4.40E-07,1.79E-05
108,4.46E-07,6.37E-06
109,4.52E-07,1.44E-05
110,4.58E-07,5.61E-06
111,4.65E-07,1.81E-05
112,4.71E-07,5.64E-06
113,4.78E-07,1.03E-05
114,4.85E-07,9.15E-07
115,4.91E-07,4.57E-06
116,4.98E-07,1.17E-05
117,5.05E-07,7.57E-06
118,5.12E-07,4.37E-06
119,5.19E-07,3.38E-06
120,5.27E-07,2.72E-05
121,5.34E-07,5.60E-06
122,5.41E-07,9.02E-06
123,5.49E-07,4.31E-06
124,5.57E-07,1.39E-05
125,5.64E-07,9.68E-06
126,5.72E-07,8.51E-06
127,5.80E-07,3.29E-05
128,5.88E-07,1.16E-05
129,5.96E-07,3.95E-07
130,6.05E-07,1.50E-05
131,6.13E-07,1.32E-05
132,6.22E-07,2.86E-06
133,6.30E-07,3.28E-06
134,6.39E-07,4.42E-06
