ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,LBol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Mass_g,Mass_old,L_Edd
1,202.5333,47.22,2.0723e+37,1.0825e+36,1.3358e+36,1.1488e+35,0.1209,0.1381,0.052421,0.015025,0.0065666,0.025442,87.10613087305876,921.4008676411847,1.0517518679970543,2.862292817679558e+39,0.07684327625905196,,0.3408334482588497,0.056298769981386686,1.0368164101010773e+36,2.3542690364034155e+36,3.831742700622078e+35,2.190427863128376e+38
2,202.5333,47.2205,1.9726e+37,1.0317e+36,1.9419e+36,2.1371e+35,0.7899,0.1857,0.040538,0.011036,0.0053178,0.021216,87.11402641348127,926.8008413567636,1.3846352036274947,2.7245856353591164e+39,0.10116445590249644,,0.9105455434636444,0.36782794382379946,9.869343485814723e+35,1.5381613828412394e+37,5.0445033624022764e+35,2.3948360658865922e+39
3,202.5333,47.2211,1.6210000000000002e+37,8.5108e+35,1.5476e+36,2.752e+35,0.7414,0.3206,0.028617,0.007864399999999999,0.0056341,0.018041,87.12350106206446,933.2808098848112,1.1284776882541558,2.2389502762430943e+39,0.08244903136310215,,0.8916937645592621,0.3452432428800669,8.11021281076025e+35,1.4437180013147165e+37,4.111270230513008e+35,2.1302131568321764e+39
7,202.5325,47.22,2.5569000000000003e+37,1.3325e+36,2.2734e+36,1.7022e+35,0.629,0.087,0.053589,0.013938999999999998,0.0062082,0.02785,92.97426275499048,921.3923151794424,1.5113772570656423,3.531629834254144e+39,0.11042450565599436,,0.8362918127718678,0.29290261636304576,1.2792722477379938e+36,1.2248430305192294e+37,5.5062500470535984e+35,1.7324349914444776e+39
10,202.5317,47.2116,1.8666e+37,9.7473e+35,1.7931e+36,2.1323e+35,0.7512,0.155,0.07292699999999999,0.014113999999999996,0.0094863,0.038677,98.71160803581222,830.6642701380375,0.9704272993609656,2.5781767955801104e+39,0.07090152660829811,,0.8951485600168594,0.3498067494625119,9.339002611082714e+35,1.4628014062417252e+37,3.53546100934635e+35,2.1852078394349185e+39
11,202.5317,47.2127,1.5221e+37,7.9728e+35,1.2202e+36,1.1325e+35,0.4654,0.1398,0.058717999999999985,0.009565700000000002,0.008065300000000001,0.028641000000000007,98.72873485191805,842.5442108716005,0.8856575849959126,2.1023480662983426e+39,0.06470806712649099,,0.7454509785477649,0.2167199962724348,7.615394768203685e+35,9.062670054112071e+36,3.226627962184108e+35,1.0364600491493622e+39
12,202.5317,47.2133,1.5877000000000004e+37,8.3114e+35,1.5072e+36,1.8511e+35,0.7324,0.1635,0.065384,0.010549,0.0096164,0.031715,98.73807675183008,849.0241786250357,0.7739996253740565,2.1929558011049732e+39,0.0565500940352862,,0.8882709620088586,0.3410522674472094,7.943605724641607e+35,1.4261924253613412e+37,2.819835652357091e+35,2.0691514724825955e+39
14,202.5317,47.2222,2.4547e+37,1.2817e+36,1.8824e+36,1.6162e+35,0.3954,0.1607,0.018655,0.0065816,0.007676899999999999,0.02139,98.87664827754669,945.1437079671105,0.807344963645837,3.390469613259669e+39,0.05898637688748566,,0.6919354909987677,0.18412352068354254,1.2281393822685492e+36,7.699569702182882e+36,2.941319398105976e+35,8.621875948273982e+38
16,202.5308,47.1916,1.238e+37,6.5098e+35,8.8101e+35,2.3271e+35,0.2773,0.5057,0.067012,0.017905,0.021217,0.045251,105.0053941868258,614.655886398153,0.7115289708353133,1.7099447513812156e+39,0.051985852305964274,,0.5833421306566975,0.12912860972571158,6.193981159605915e+35,5.399824679856636e+36,2.592242546211466e+35,4.8830575522327806e+38
17,202.5308,47.1933,2.1579e+37,1.1248e+36,2.1877e+36,3.0016e+35,0.8364,0.2581,0.06,0.015880000000000002,0.0096924,0.035693,105.03165133215134,633.015791924259,1.0985671816434055,2.980524861878453e+39,0.08026370477374684,,0.9207118369278136,0.3894813168935636,1.0796439373435868e+36,1.6287101919336782e+37,4.002300264435447e+35,2.6406867806640775e+39
23,202.5309,47.2222,3.3933000000000003e+37,1.7665000000000002e+36,3.207700000000001e+36,2.1773e+35,0.7259,0.1033,0.023442,0.0072712,0.0070015,0.027044,104.74453679536758,945.1352759623143,1.383488838151154,4.6868784530386745e+39,0.101080699950477,,0.8857551848264522,0.33802545185681226,1.697741217196345e+36,1.41353506495057e+37,5.0403269233771855e+35,2.1905430591254973e+39
